"","Site","Year","Month","SWE_mm","LocalityName","Region","LocalityCode"
"26",25,2001,1,56.8193548387097,"Truls Holm","Hedmark","THB"
"27",26,2001,1,133.2,"Drangedal1","Telemark","1DRB"
"28",27,2001,1,91.5935483870968,"Furesdal","Telemark","1FYB"
"29",28,2001,1,32.5483870967742,"Sub_Namdalseid","Trøndelag","1SB"
"30",29,2001,1,24.8290322580645,"Malvik","Trøndelag","MAB"
"31",30,2001,1,154.912903225806,"Drangedal4","Telemark","4DRB"
"32",31,2001,1,91.0032258064516,"Nome_Cappelen1","Telemark","1CAB"
"33",32,2001,1,41.8193548387097,"ingen","Trøndelag","1RB"
"34",33,2001,1,45.6645161290323,"Singsås","Trøndelag","LAB"
"35",34,2001,1,56.0903225806452,"Stangeskovene Aurskog","Hedmark","SSAB"
"36",35,2001,1,39.1838709677419,"Hi_tydal","Trøndelag","HIB"
"37",36,2001,1,89.9741935483871,"Notodden3","Telemark","3NOB"
"38",37,2001,1,147.696774193548,"Drangedal3","Telemark","3DRB"
"39",38,2001,1,21.1645161290323,"steinkjer_1BBb","Trøndelag","1BBB"
"40",39,2001,1,20.4225806451613,"Selbu_Flub","Trøndelag","FLB"
"41",40,2001,1,34.4032258064516,"Stangeskovene Eidskog","Hedmark","SSBB"
"42",41,2001,1,52.1774193548387,"Maarud 3","Hedmark","M3B"
"43",42,2001,1,152.28064516129,"Fritsøe2","Telemark","2FRB"
"44",43,2001,1,74.5548387096774,"Notodden1","Telemark","1NOB"
"45",44,2001,1,101.309677419355,"Kviteseid3","Telemark","3KVB"
"46",45,2001,1,4.55483870967742,"verdal_1vb","Trøndelag","1VBB"
"47",46,2001,1,45.7645161290323,"Sørum 1","Hedmark","SKB"
"48",47,2001,1,21.7741935483871,"steinkjer_2BBb","Trøndelag","2BBB"
"49",0,2002,1,19.6451612903226,"Stig Dæhlen","Hedmark","SDB"
"50",1,2002,1,43.2193548387097,"Maarud 2","Hedmark","M2B"
"51",2,2002,1,14.4612903225806,"Nome_Cappelen2","Telemark","2CAB"
"52",3,2002,1,27.8,"Eidskog","Hedmark","STSKNB"
"53",4,2002,1,74.9677419354839,"Notodden6","Telemark","6NOB"
"54",5,2002,1,17.6193548387097,"namdalseid_1kub","Trøndelag","1KB"
"55",6,2002,1,14.7290322580645,"Fet 3","Hedmark","FKB"
"56",7,2002,1,14.6516129032258,"Didrik Holmsen","Hedmark","DHB"
"57",8,2002,1,22.3,"Halvard Pramhus","Hedmark","HPB"
"58",9,2002,1,18.8290322580645,"Selbu_kl","Trøndelag","KLB"
"59",10,2002,1,50.7387096774194,"Kongsvinger 1","Hedmark","IAAB"
"60",11,2002,1,12.2806451612903,"Nsb_Verdal","Trøndelag","1NSB"
"61",12,2002,1,123.458064516129,"Sl_Tydal","Trøndelag","SEB"
"62",13,2002,1,23.8548387096774,"Nes 1","Hedmark","DDB"
"63",14,2002,1,128.096774193548,"Kviteseid2","Telemark","2KVB"
"64",15,2002,1,18.7290322580645,"Bratsberg","Trøndelag","BRB"
"65",16,2002,1,77.5516129032258,"Kviteseid1","Telemark","1KVB"
"66",17,2002,1,23.0516129032258,"Selbu_Sl","Trøndelag","SLB"
"67",18,2002,1,21.2741935483871,"Maarud 1","Hedmark","M1B"
"68",19,2002,1,42.1322580645161,"Nes 2","Hedmark","OLB"
"69",20,2002,1,54.6258064516129,"Kongsvinger 2","Hedmark","JCDB"
"70",21,2002,1,129.183870967742,"Notodden5","Telemark","5NOB"
"71",22,2002,1,150.741935483871,"Fritsøe1","Telemark","1FRB"
"72",23,2002,1,132.806451612903,"Notodden4","Telemark","4NOB"
"73",24,2002,1,8.73548387096774,"verdal_2VB","Trøndelag","2VBB"
"74",25,2002,1,56.2354838709677,"Truls Holm","Hedmark","THB"
"75",26,2002,1,27.7774193548387,"Drangedal1","Telemark","1DRB"
"76",27,2002,1,57.4354838709677,"Furesdal","Telemark","1FYB"
"77",28,2002,1,18.2870967741935,"Sub_Namdalseid","Trøndelag","1SB"
"78",29,2002,1,17.4516129032258,"Malvik","Trøndelag","MAB"
"79",30,2002,1,30.1838709677419,"Drangedal4","Telemark","4DRB"
"80",31,2002,1,12.6225806451613,"Nome_Cappelen1","Telemark","1CAB"
"81",32,2002,1,19.3741935483871,"ingen","Trøndelag","1RB"
"82",33,2002,1,27.9354838709677,"Singsås","Trøndelag","LAB"
"83",34,2002,1,20.3032258064516,"Stangeskovene Aurskog","Hedmark","SSAB"
"84",35,2002,1,58.358064516129,"Hi_tydal","Trøndelag","HIB"
"85",36,2002,1,130.067741935484,"Notodden3","Telemark","3NOB"
"86",37,2002,1,36.7354838709677,"Drangedal3","Telemark","3DRB"
"87",38,2002,1,17.2,"steinkjer_1BBb","Trøndelag","1BBB"
"88",39,2002,1,16.8193548387097,"Selbu_Flub","Trøndelag","FLB"
"89",40,2002,1,17.2967741935484,"Stangeskovene Eidskog","Hedmark","SSBB"
"90",41,2002,1,54.9387096774194,"Maarud 3","Hedmark","M3B"
"91",42,2002,1,68.1903225806452,"Fritsøe2","Telemark","2FRB"
"92",43,2002,1,68.5354838709677,"Notodden1","Telemark","1NOB"
"93",44,2002,1,125.096774193548,"Kviteseid3","Telemark","3KVB"
"94",45,2002,1,9.41290322580645,"verdal_1vb","Trøndelag","1VBB"
"95",46,2002,1,21.4096774193548,"Sørum 1","Hedmark","SKB"
"96",47,2002,1,17.8935483870968,"steinkjer_2BBb","Trøndelag","2BBB"
"97",0,2003,1,93.0483870967742,"Stig Dæhlen","Hedmark","SDB"
"98",1,2003,1,89.4741935483871,"Maarud 2","Hedmark","M2B"
"99",2,2003,1,160.045161290323,"Nome_Cappelen2","Telemark","2CAB"
"100",3,2003,1,94.3516129032258,"Eidskog","Hedmark","STSKNB"
"101",4,2003,1,118.1,"Notodden6","Telemark","6NOB"
"102",5,2003,1,101.148387096774,"namdalseid_1kub","Trøndelag","1KB"
"103",6,2003,1,118.612903225806,"Fet 3","Hedmark","FKB"
"104",7,2003,1,105.070967741935,"Didrik Holmsen","Hedmark","DHB"
"105",8,2003,1,85.6612903225806,"Halvard Pramhus","Hedmark","HPB"
"106",9,2003,1,125.68064516129,"Selbu_kl","Trøndelag","KLB"
"107",10,2003,1,90.1,"Kongsvinger 1","Hedmark","IAAB"
"108",11,2003,1,31.0806451612903,"Nsb_Verdal","Trøndelag","1NSB"
"109",12,2003,1,122.88064516129,"Sl_Tydal","Trøndelag","SEB"
"110",13,2003,1,92.0516129032258,"Nes 1","Hedmark","DDB"
"111",14,2003,1,237.509677419355,"Kviteseid2","Telemark","2KVB"
"112",15,2003,1,49.5387096774194,"Bratsberg","Trøndelag","BRB"
"113",16,2003,1,219.641935483871,"Kviteseid1","Telemark","1KVB"
"114",17,2003,1,138.358064516129,"Selbu_Sl","Trøndelag","SLB"
"115",18,2003,1,81.6290322580645,"Maarud 1","Hedmark","M1B"
"116",19,2003,1,90.3387096774194,"Nes 2","Hedmark","OLB"
"117",20,2003,1,102.887096774194,"Kongsvinger 2","Hedmark","JCDB"
"118",21,2003,1,186.98064516129,"Notodden5","Telemark","5NOB"
"119",22,2003,1,235.487096774194,"Fritsøe1","Telemark","1FRB"
"120",23,2003,1,199.638709677419,"Notodden4","Telemark","4NOB"
"121",24,2003,1,48.1516129032258,"verdal_2VB","Trøndelag","2VBB"
"122",25,2003,1,101.083870967742,"Truls Holm","Hedmark","THB"
"123",26,2003,1,174.203225806452,"Drangedal1","Telemark","1DRB"
"124",27,2003,1,159.383870967742,"Furesdal","Telemark","1FYB"
"125",28,2003,1,106.767741935484,"Sub_Namdalseid","Trøndelag","1SB"
"126",29,2003,1,51.3064516129032,"Malvik","Trøndelag","MAB"
"127",30,2003,1,145.961290322581,"Drangedal4","Telemark","4DRB"
"128",31,2003,1,172.938709677419,"Nome_Cappelen1","Telemark","1CAB"
"129",32,2003,1,108.761290322581,"ingen","Trøndelag","1RB"
"130",33,2003,1,113.506451612903,"Singsås","Trøndelag","LAB"
"131",34,2003,1,118.954838709677,"Stangeskovene Aurskog","Hedmark","SSAB"
"132",35,2003,1,126.083870967742,"Hi_tydal","Trøndelag","HIB"
"133",36,2003,1,184.248387096774,"Notodden3","Telemark","3NOB"
"134",37,2003,1,143.635483870968,"Drangedal3","Telemark","3DRB"
"135",38,2003,1,132.022580645161,"steinkjer_1BBb","Trøndelag","1BBB"
"136",39,2003,1,87.6903225806452,"Selbu_Flub","Trøndelag","FLB"
"137",40,2003,1,103.016129032258,"Stangeskovene Eidskog","Hedmark","SSBB"
"138",41,2003,1,99.5741935483871,"Maarud 3","Hedmark","M3B"
"139",42,2003,1,164.306451612903,"Fritsøe2","Telemark","2FRB"
"140",43,2003,1,145.41935483871,"Notodden1","Telemark","1NOB"
"141",44,2003,1,242.741935483871,"Kviteseid3","Telemark","3KVB"
"142",45,2003,1,92.1,"verdal_1vb","Trøndelag","1VBB"
"143",46,2003,1,127.270967741935,"Sørum 1","Hedmark","SKB"
"144",47,2003,1,130.548387096774,"steinkjer_2BBb","Trøndelag","2BBB"
"145",0,2004,1,49.4225806451613,"Stig Dæhlen","Hedmark","SDB"
"146",1,2004,1,59.6903225806452,"Maarud 2","Hedmark","M2B"
"147",2,2004,1,45.6225806451613,"Nome_Cappelen2","Telemark","2CAB"
"148",3,2004,1,46.8903225806452,"Eidskog","Hedmark","STSKNB"
"149",4,2004,1,73.2096774193548,"Notodden6","Telemark","6NOB"
"150",5,2004,1,105.064516129032,"namdalseid_1kub","Trøndelag","1KB"
"151",6,2004,1,57.7354838709677,"Fet 3","Hedmark","FKB"
"152",7,2004,1,50.758064516129,"Didrik Holmsen","Hedmark","DHB"
"153",8,2004,1,38.7870967741936,"Halvard Pramhus","Hedmark","HPB"
"154",9,2004,1,114.229032258065,"Selbu_kl","Trøndelag","KLB"
"155",10,2004,1,73.2354838709677,"Kongsvinger 1","Hedmark","IAAB"
"156",11,2004,1,67.1548387096774,"Nsb_Verdal","Trøndelag","1NSB"
"157",12,2004,1,115.448387096774,"Sl_Tydal","Trøndelag","SEB"
"158",13,2004,1,48.7548387096774,"Nes 1","Hedmark","DDB"
"159",14,2004,1,145.525806451613,"Kviteseid2","Telemark","2KVB"
"160",15,2004,1,65.9967741935484,"Bratsberg","Trøndelag","BRB"
"161",16,2004,1,88.1290322580645,"Kviteseid1","Telemark","1KVB"
"162",17,2004,1,130.470967741935,"Selbu_Sl","Trøndelag","SLB"
"163",18,2004,1,44.8290322580645,"Maarud 1","Hedmark","M1B"
"164",19,2004,1,47.241935483871,"Nes 2","Hedmark","OLB"
"165",20,2004,1,76.9903225806452,"Kongsvinger 2","Hedmark","JCDB"
"166",21,2004,1,142.183870967742,"Notodden5","Telemark","5NOB"
"167",22,2004,1,99.0741935483871,"Fritsøe1","Telemark","1FRB"
"168",23,2004,1,130.961290322581,"Notodden4","Telemark","4NOB"
"169",24,2004,1,60.458064516129,"verdal_2VB","Trøndelag","2VBB"
"170",25,2004,1,49.4258064516129,"Truls Holm","Hedmark","THB"
"171",26,2004,1,47.8741935483871,"Drangedal1","Telemark","1DRB"
"172",27,2004,1,78.7709677419355,"Furesdal","Telemark","1FYB"
"173",28,2004,1,146.538709677419,"Sub_Namdalseid","Trøndelag","1SB"
"174",29,2004,1,85.4387096774194,"Malvik","Trøndelag","MAB"
"175",30,2004,1,53.7258064516129,"Drangedal4","Telemark","4DRB"
"176",31,2004,1,41.7161290322581,"Nome_Cappelen1","Telemark","1CAB"
"177",32,2004,1,169.664516129032,"ingen","Trøndelag","1RB"
"178",33,2004,1,109.922580645161,"Singsås","Trøndelag","LAB"
"179",34,2004,1,54.0612903225806,"Stangeskovene Aurskog","Hedmark","SSAB"
"180",35,2004,1,115.332258064516,"Hi_tydal","Trøndelag","HIB"
"181",36,2004,1,126.845161290323,"Notodden3","Telemark","3NOB"
"182",37,2004,1,55.4645161290323,"Drangedal3","Telemark","3DRB"
"183",38,2004,1,163.903225806452,"steinkjer_1BBb","Trøndelag","1BBB"
"184",39,2004,1,97.9741935483871,"Selbu_Flub","Trøndelag","FLB"
"185",40,2004,1,45.3096774193548,"Stangeskovene Eidskog","Hedmark","SSBB"
"186",41,2004,1,78.441935483871,"Maarud 3","Hedmark","M3B"
"187",42,2004,1,94.9193548387097,"Fritsøe2","Telemark","2FRB"
"188",43,2004,1,74.5387096774193,"Notodden1","Telemark","1NOB"
"189",44,2004,1,130.874193548387,"Kviteseid3","Telemark","3KVB"
"190",45,2004,1,70.2967741935484,"verdal_1vb","Trøndelag","1VBB"
"191",46,2004,1,52.8451612903226,"Sørum 1","Hedmark","SKB"
"192",47,2004,1,164.490322580645,"steinkjer_2BBb","Trøndelag","2BBB"
"193",0,2005,1,9.2,"Stig Dæhlen","Hedmark","SDB"
"194",1,2005,1,15.1322580645161,"Maarud 2","Hedmark","M2B"
"195",2,2005,1,4.56129032258065,"Nome_Cappelen2","Telemark","2CAB"
"196",3,2005,1,11.4290322580645,"Eidskog","Hedmark","STSKNB"
"197",4,2005,1,10.9193548387097,"Notodden6","Telemark","6NOB"
"198",5,2005,1,49.9322580645161,"namdalseid_1kub","Trøndelag","1KB"
"199",6,2005,1,8.34193548387097,"Fet 3","Hedmark","FKB"
"200",7,2005,1,9.90967741935484,"Didrik Holmsen","Hedmark","DHB"
"201",8,2005,1,8.02258064516129,"Halvard Pramhus","Hedmark","HPB"
"202",9,2005,1,69.5161290322581,"Selbu_kl","Trøndelag","KLB"
"203",10,2005,1,17.0967741935484,"Kongsvinger 1","Hedmark","IAAB"
"204",11,2005,1,12.0354838709677,"Nsb_Verdal","Trøndelag","1NSB"
"205",12,2005,1,167.032258064516,"Sl_Tydal","Trøndelag","SEB"
"206",13,2005,1,10.1096774193548,"Nes 1","Hedmark","DDB"
"207",14,2005,1,59.4096774193548,"Kviteseid2","Telemark","2KVB"
"208",15,2005,1,22.3967741935484,"Bratsberg","Trøndelag","BRB"
"209",16,2005,1,31.9709677419355,"Kviteseid1","Telemark","1KVB"
"210",17,2005,1,96.9483870967742,"Selbu_Sl","Trøndelag","SLB"
"211",18,2005,1,9.51290322580645,"Maarud 1","Hedmark","M1B"
"212",19,2005,1,15.1806451612903,"Nes 2","Hedmark","OLB"
"213",20,2005,1,29.3709677419355,"Kongsvinger 2","Hedmark","JCDB"
"214",21,2005,1,31.5290322580645,"Notodden5","Telemark","5NOB"
"215",22,2005,1,21.6129032258065,"Fritsøe1","Telemark","1FRB"
"216",23,2005,1,26.7774193548387,"Notodden4","Telemark","4NOB"
"217",24,2005,1,48.8322580645161,"verdal_2VB","Trøndelag","2VBB"
"218",25,2005,1,14.4161290322581,"Truls Holm","Hedmark","THB"
"219",26,2005,1,6.33548387096774,"Drangedal1","Telemark","1DRB"
"220",27,2005,1,22.0096774193548,"Furesdal","Telemark","1FYB"
"221",28,2005,1,91.8064516129032,"Sub_Namdalseid","Trøndelag","1SB"
"222",29,2005,1,23.5677419354839,"Malvik","Trøndelag","MAB"
"223",30,2005,1,12.9612903225806,"Drangedal4","Telemark","4DRB"
"224",31,2005,1,4.16774193548387,"Nome_Cappelen1","Telemark","1CAB"
"225",32,2005,1,88.2612903225806,"ingen","Trøndelag","1RB"
"226",33,2005,1,73.4774193548387,"Singsås","Trøndelag","LAB"
"227",34,2005,1,11.5870967741935,"Stangeskovene Aurskog","Hedmark","SSAB"
"228",35,2005,1,138.887096774194,"Hi_tydal","Trøndelag","HIB"
"229",36,2005,1,21.2096774193548,"Notodden3","Telemark","3NOB"
"230",37,2005,1,12.0354838709677,"Drangedal3","Telemark","3DRB"
"231",38,2005,1,191.932258064516,"steinkjer_1BBb","Trøndelag","1BBB"
"232",39,2005,1,29.0903225806452,"Selbu_Flub","Trøndelag","FLB"
"233",40,2005,1,9.3741935483871,"Stangeskovene Eidskog","Hedmark","SSBB"
"234",41,2005,1,26.8838709677419,"Maarud 3","Hedmark","M3B"
"235",42,2005,1,12.7129032258065,"Fritsøe2","Telemark","2FRB"
"236",43,2005,1,11.8741935483871,"Notodden1","Telemark","1NOB"
"237",44,2005,1,71.5677419354839,"Kviteseid3","Telemark","3KVB"
"238",45,2005,1,67.6483870967742,"verdal_1vb","Trøndelag","1VBB"
"239",46,2005,1,8.22258064516129,"Sørum 1","Hedmark","SKB"
"240",47,2005,1,198.822580645161,"steinkjer_2BBb","Trøndelag","2BBB"
"241",0,2006,1,19.9,"Stig Dæhlen","Hedmark","SDB"
"242",1,2006,1,46.2451612903226,"Maarud 2","Hedmark","M2B"
"243",2,2006,1,30.5548387096774,"Nome_Cappelen2","Telemark","2CAB"
"244",3,2006,1,32.0677419354839,"Eidskog","Hedmark","STSKNB"
"245",4,2006,1,57.9612903225806,"Notodden6","Telemark","6NOB"
"246",5,2006,1,108.570967741935,"namdalseid_1kub","Trøndelag","1KB"
"247",6,2006,1,28.6096774193548,"Fet 3","Hedmark","FKB"
"248",7,2006,1,35.8354838709677,"Didrik Holmsen","Hedmark","DHB"
"249",8,2006,1,28.7290322580645,"Halvard Pramhus","Hedmark","HPB"
"250",9,2006,1,45.9483870967742,"Selbu_kl","Trøndelag","KLB"
"251",10,2006,1,46.4935483870968,"Kongsvinger 1","Hedmark","IAAB"
"252",11,2006,1,15.9645161290323,"Nsb_Verdal","Trøndelag","1NSB"
"253",12,2006,1,164.4,"Sl_Tydal","Trøndelag","SEB"
"254",13,2006,1,34.7322580645161,"Nes 1","Hedmark","DDB"
"255",14,2006,1,94.6548387096774,"Kviteseid2","Telemark","2KVB"
"256",15,2006,1,11.9354838709677,"Bratsberg","Trøndelag","BRB"
"257",16,2006,1,70.9290322580645,"Kviteseid1","Telemark","1KVB"
"258",17,2006,1,62.3225806451613,"Selbu_Sl","Trøndelag","SLB"
"259",18,2006,1,28.3290322580645,"Maarud 1","Hedmark","M1B"
"260",19,2006,1,46.8290322580645,"Nes 2","Hedmark","OLB"
"261",20,2006,1,52.3096774193548,"Kongsvinger 2","Hedmark","JCDB"
"262",21,2006,1,94.5064516129032,"Notodden5","Telemark","5NOB"
"263",22,2006,1,164.983870967742,"Fritsøe1","Telemark","1FRB"
"264",23,2006,1,83.6161290322581,"Notodden4","Telemark","4NOB"
"265",24,2006,1,39.2483870967742,"verdal_2VB","Trøndelag","2VBB"
"266",25,2006,1,43.8290322580645,"Truls Holm","Hedmark","THB"
"267",26,2006,1,65.1193548387097,"Drangedal1","Telemark","1DRB"
"268",27,2006,1,67.041935483871,"Furesdal","Telemark","1FYB"
"269",28,2006,1,95.5161290322581,"Sub_Namdalseid","Trøndelag","1SB"
"270",29,2006,1,20.7774193548387,"Malvik","Trøndelag","MAB"
"271",30,2006,1,46.9258064516129,"Drangedal4","Telemark","4DRB"
"272",31,2006,1,36.0774193548387,"Nome_Cappelen1","Telemark","1CAB"
"273",32,2006,1,83.6774193548387,"ingen","Trøndelag","1RB"
"274",33,2006,1,28.6451612903226,"Singsås","Trøndelag","LAB"
"275",34,2006,1,40.6451612903226,"Stangeskovene Aurskog","Hedmark","SSAB"
"276",35,2006,1,155.125806451613,"Hi_tydal","Trøndelag","HIB"
"277",36,2006,1,74.9258064516129,"Notodden3","Telemark","3NOB"
"278",37,2006,1,44.1161290322581,"Drangedal3","Telemark","3DRB"
"279",38,2006,1,139.364516129032,"steinkjer_1BBb","Trøndelag","1BBB"
"280",39,2006,1,24.0258064516129,"Selbu_Flub","Trøndelag","FLB"
"281",40,2006,1,22.7064516129032,"Stangeskovene Eidskog","Hedmark","SSBB"
"282",41,2006,1,50.4967741935484,"Maarud 3","Hedmark","M3B"
"283",42,2006,1,150.712903225806,"Fritsøe2","Telemark","2FRB"
"284",43,2006,1,42.7032258064516,"Notodden1","Telemark","1NOB"
"285",44,2006,1,83.1032258064516,"Kviteseid3","Telemark","3KVB"
"286",45,2006,1,50.4387096774194,"verdal_1vb","Trøndelag","1VBB"
"287",46,2006,1,28.4290322580645,"Sørum 1","Hedmark","SKB"
"288",47,2006,1,140.81935483871,"steinkjer_2BBb","Trøndelag","2BBB"
"289",0,2007,1,10.1225806451613,"Stig Dæhlen","Hedmark","SDB"
"290",1,2007,1,17.6129032258065,"Maarud 2","Hedmark","M2B"
"291",2,2007,1,15.4645161290323,"Nome_Cappelen2","Telemark","2CAB"
"292",3,2007,1,10.4483870967742,"Eidskog","Hedmark","STSKNB"
"293",4,2007,1,18.641935483871,"Notodden6","Telemark","6NOB"
"294",5,2007,1,26.3806451612903,"namdalseid_1kub","Trøndelag","1KB"
"295",6,2007,1,10.7483870967742,"Fet 3","Hedmark","FKB"
"296",7,2007,1,11.4903225806452,"Didrik Holmsen","Hedmark","DHB"
"297",8,2007,1,20.3322580645161,"Halvard Pramhus","Hedmark","HPB"
"298",9,2007,1,14.8225806451613,"Selbu_kl","Trøndelag","KLB"
"299",10,2007,1,20.3387096774194,"Kongsvinger 1","Hedmark","IAAB"
"300",11,2007,1,9.96774193548387,"Nsb_Verdal","Trøndelag","1NSB"
"301",12,2007,1,25.5387096774194,"Sl_Tydal","Trøndelag","SEB"
"302",13,2007,1,10.3903225806452,"Nes 1","Hedmark","DDB"
"303",14,2007,1,72.2516129032258,"Kviteseid2","Telemark","2KVB"
"304",15,2007,1,26.5322580645161,"Bratsberg","Trøndelag","BRB"
"305",16,2007,1,26.2741935483871,"Kviteseid1","Telemark","1KVB"
"306",17,2007,1,21.4806451612903,"Selbu_Sl","Trøndelag","SLB"
"307",18,2007,1,9.39032258064516,"Maarud 1","Hedmark","M1B"
"308",19,2007,1,10.7129032258065,"Nes 2","Hedmark","OLB"
"309",20,2007,1,21.7548387096774,"Kongsvinger 2","Hedmark","JCDB"
"310",21,2007,1,60.8161290322581,"Notodden5","Telemark","5NOB"
"311",22,2007,1,59.2838709677419,"Fritsøe1","Telemark","1FRB"
"312",23,2007,1,54.0774193548387,"Notodden4","Telemark","4NOB"
"313",24,2007,1,10.9645161290323,"verdal_2VB","Trøndelag","2VBB"
"314",25,2007,1,11.0290322580645,"Truls Holm","Hedmark","THB"
"315",26,2007,1,15.4870967741935,"Drangedal1","Telemark","1DRB"
"316",27,2007,1,18.5,"Furesdal","Telemark","1FYB"
"317",28,2007,1,31.1774193548387,"Sub_Namdalseid","Trøndelag","1SB"
"318",29,2007,1,21.3483870967742,"Malvik","Trøndelag","MAB"
"319",30,2007,1,14.5129032258065,"Drangedal4","Telemark","4DRB"
"320",31,2007,1,15.0354838709677,"Nome_Cappelen1","Telemark","1CAB"
"321",32,2007,1,34,"ingen","Trøndelag","1RB"
"322",33,2007,1,19.9225806451613,"Singsås","Trøndelag","LAB"
"323",34,2007,1,11.7258064516129,"Stangeskovene Aurskog","Hedmark","SSAB"
"324",35,2007,1,22.9258064516129,"Hi_tydal","Trøndelag","HIB"
"325",36,2007,1,56.8935483870968,"Notodden3","Telemark","3NOB"
"326",37,2007,1,14.3193548387097,"Drangedal3","Telemark","3DRB"
"327",38,2007,1,46.5387096774194,"steinkjer_1BBb","Trøndelag","1BBB"
"328",39,2007,1,14.1161290322581,"Selbu_Flub","Trøndelag","FLB"
"329",40,2007,1,10.941935483871,"Stangeskovene Eidskog","Hedmark","SSBB"
"330",41,2007,1,19.7645161290323,"Maarud 3","Hedmark","M3B"
"331",42,2007,1,20.4806451612903,"Fritsøe2","Telemark","2FRB"
"332",43,2007,1,28.8290322580645,"Notodden1","Telemark","1NOB"
"333",44,2007,1,77.2806451612903,"Kviteseid3","Telemark","3KVB"
"334",45,2007,1,12.4322580645161,"verdal_1vb","Trøndelag","1VBB"
"335",46,2007,1,10.6258064516129,"Sørum 1","Hedmark","SKB"
"336",47,2007,1,43.7548387096774,"steinkjer_2BBb","Trøndelag","2BBB"
"337",0,2008,1,8.91290322580645,"Stig Dæhlen","Hedmark","SDB"
"338",1,2008,1,21.5387096774194,"Maarud 2","Hedmark","M2B"
"339",2,2008,1,57.2483870967742,"Nome_Cappelen2","Telemark","2CAB"
"340",3,2008,1,13.3741935483871,"Eidskog","Hedmark","STSKNB"
"341",4,2008,1,184.193548387097,"Notodden6","Telemark","6NOB"
"342",5,2008,1,11.1129032258065,"namdalseid_1kub","Trøndelag","1KB"
"343",6,2008,1,12.6870967741935,"Fet 3","Hedmark","FKB"
"344",7,2008,1,14.8709677419355,"Didrik Holmsen","Hedmark","DHB"
"345",8,2008,1,12.8290322580645,"Halvard Pramhus","Hedmark","HPB"
"346",9,2008,1,51.5290322580645,"Selbu_kl","Trøndelag","KLB"
"347",10,2008,1,67.1290322580645,"Kongsvinger 1","Hedmark","IAAB"
"348",11,2008,1,7.93548387096774,"Nsb_Verdal","Trøndelag","1NSB"
"349",12,2008,1,138.148387096774,"Sl_Tydal","Trøndelag","SEB"
"350",13,2008,1,9.10967741935484,"Nes 1","Hedmark","DDB"
"351",14,2008,1,256.274193548387,"Kviteseid2","Telemark","2KVB"
"352",15,2008,1,32.3741935483871,"Bratsberg","Trøndelag","BRB"
"353",16,2008,1,189.21935483871,"Kviteseid1","Telemark","1KVB"
"354",17,2008,1,78.258064516129,"Selbu_Sl","Trøndelag","SLB"
"355",18,2008,1,9.54516129032258,"Maarud 1","Hedmark","M1B"
"356",19,2008,1,18.5,"Nes 2","Hedmark","OLB"
"357",20,2008,1,72.6,"Kongsvinger 2","Hedmark","JCDB"
"358",21,2008,1,196.403225806452,"Notodden5","Telemark","5NOB"
"359",22,2008,1,247.393548387097,"Fritsøe1","Telemark","1FRB"
"360",23,2008,1,186.1,"Notodden4","Telemark","4NOB"
"361",24,2008,1,13.6548387096774,"verdal_2VB","Trøndelag","2VBB"
"362",25,2008,1,29.1225806451613,"Truls Holm","Hedmark","THB"
"363",26,2008,1,107.503225806452,"Drangedal1","Telemark","1DRB"
"364",27,2008,1,167.706451612903,"Furesdal","Telemark","1FYB"
