"","Site","Year","Month","SWE_mm","LocalityName","Region","LocalityCode"
"1",0,2001,1,41.4548387096774,"Stig Dæhlen","Hedmark","SDB"
"2",1,2001,1,40.8967741935484,"Maarud 2","Hedmark","M2B"
"3",2,2001,1,79.8258064516129,"Nome_Cappelen2","Telemark","2CAB"
"4",3,2001,1,35.4935483870968,"Eidskog","Hedmark","STSKNB"
"5",4,2001,1,68.6161290322581,"Notodden6","Telemark","6NOB"
"6",5,2001,1,31.2129032258064,"namdalseid_1kub","Trøndelag","1KB"
"7",6,2001,1,50.9903225806452,"Fet 3","Hedmark","FKB"
"8",7,2001,1,46.3451612903226,"Didrik Holmsen","Hedmark","DHB"
"9",8,2001,1,22.7806451612903,"Halvard Pramhus","Hedmark","HPB"
"10",9,2001,1,29.0483870967742,"Selbu_kl","Trøndelag","KLB"
"11",10,2001,1,37.9516129032258,"Kongsvinger 1","Hedmark","IAAB"
"12",11,2001,1,4.48709677419355,"Nsb_Verdal","Trøndelag","1NSB"
"13",12,2001,1,45.2516129032258,"Sl_Tydal","Trøndelag","SEB"
"14",13,2001,1,33.1387096774194,"Nes 1","Hedmark","DDB"
"15",14,2001,1,114.864516129032,"Kviteseid2","Telemark","2KVB"
"16",15,2001,1,23.3838709677419,"Bratsberg","Trøndelag","BRB"
"17",16,2001,1,106.022580645161,"Kviteseid1","Telemark","1KVB"
"18",17,2001,1,36.4741935483871,"Selbu_Sl","Trøndelag","SLB"
"19",18,2001,1,24.1774193548387,"Maarud 1","Hedmark","M1B"
"20",19,2001,1,45.6548387096774,"Nes 2","Hedmark","OLB"
"21",20,2001,1,50.2387096774194,"Kongsvinger 2","Hedmark","JCDB"
"22",21,2001,1,94.2935483870968,"Notodden5","Telemark","5NOB"
"23",22,2001,1,150.335483870968,"Fritsøe1","Telemark","1FRB"
"24",23,2001,1,106.896774193548,"Notodden4","Telemark","4NOB"
"25",24,2001,1,3.4,"verdal_2VB","Trøndelag","2VBB"
