FID;Shape *;Name;utm32ost;utm32nord;;;;;;;;;;
13;Point;Flb;602348,9591;7015565,716;;;;;;;;;;
16;Point;Flub;602318,4341;7015633,872;;;;;;;;;;
15;Point;Flub;602321,4116;7015614,235;;;;;;;;;;
19;Point;Flub;602321,4116;7015614,235;;;;;;;;;;
17;Point;Flub;602338,7666;7015636,955;;;;;;;;;;
18;Point;Flub;602341,744;7015617,318;;;;;;;;;;
48;Point;Hib;621711,7123;6998819,346;;;;;;;;;;
47;Point;Hib;621717,1213;6998800,148;;;;;;;;;;
45;Point;Hib;621730,9103;6998824,755;;;;;;;;;;
49;Point;Hib;621730,9103;6998824,755;;;;;;;;;;
46;Point;Hib;621736,3193;6998805,557;;;;;;;;;;
43;Point;Hiub;621680,7992;6998817,848;;;;;;;;;;
42;Point;Hiub;621681,999;6998797,938;;;;;;;;;;
40;Point;Hiub;621701,161;6998819,075;;;;;;;;;;
44;Point;Hiub;621701,161;6998819,075;;;;;;;;;;
41;Point;Hiub;621702,3608;6998799,165;;;;;;;;;;
21;Point;Klb;602216,8229;7008741,467;;;;;;;;;;
20;Point;Klb;602217,7015;7008722,017;;;;;;;;;;
24;Point;Klb;602217,7015;7008722,017;;;;;;;;;;
22;Point;Klb;602236,7587;7008742,367;;;;;;;;;;
23;Point;Klb;602237,6373;7008722,918;;;;;;;;;;
26;Point;Klub;602210,6729;7008694,991;;;;;;;;;;
25;Point;Klub;602211,3336;7008675,045;;;;;;;;;;
29;Point;Klub;602211,3336;7008675,045;;;;;;;;;;
27;Point;Klub;602230,8613;7008695,659;;;;;;;;;;
28;Point;Klub;602231,522;7008675,714;;;;;;;north;east;gamle øst;gamle nord
77;Point;Lab;598522,2469;6983492,808;Lab;32 V 598522 6983494;ab;15;62,967826;10,94314;6983492,808;598522,2469;598499,5971;6983501,337
76;Point;Lab;598502,1545;6983493,236;Lab;32 V 598522 6983494;ab;15;62,967835;10,942745;6983493,236;598502,1545;598505,2264;6983482,044
78;Point;Lab;598502,5826;6983513,329;Lab;32 V 598522 6983494;ab;15;62,968015;10,942765;6983513,329;598502,5826;598518,8895;6983506,966
75;Point;Lab;598522,6749;6983512,9;Lab;32 V 598522 6983494;ab;15;62,968006;10,943161;6983512,9;598522,6749;598524,5188;6983487,673
79;Point;Lab;598522,2469;6983492,808;Lab;32 V 598522 6983494;ab;15;62,967826;10,94314;6983492,808;598522,2469;598524,5188;6983487,673
72;Point;Laub;598526,1929;6983453,945;Laub;32 V 598517 6983435;ub;14;62,967476;10,943195;6983453,945;598526,1929;598500,1265;6983442,155
73;Point;Laub;598519,2248;6983435,095;Laub;32 V 598517 6983435;ub;14;62,967309;10,943046;6983435,095;598519,2248;598507,0946;6983461,005
71;Point;Laub;598500,1265;6983442,155;Laub;32 V 598517 6983435;ub;14;62,967377;10,942674;6983442,155;598500,1265;598519,2248;6983435,095
70;Point;Laub;598507,0946;6983461,005;Laub;32 V 598517 6983435;ub;14;62,967545;10,942823;6983461,005;598507,0946;598526,1929;6983453,945
74;Point;Laub;598526,1929;6983453,945;Laub;32 V 598517 6983435;ub;14;62,967476;10,943195;6983453,945;598526,1929;598526,1929;6983453,945
37;Point;Mab;586355,1793;7026720,733;Mab;32 V 586338 7026718;ab;7;63,358721;10,726224;7026720,733;586355,1793;586329,0476;7026732,64
36;Point;Mab;586335,5219;7026716,217;Mab;32 V 586338 7026718;ab;7;63,358685;10,725828;7026716,217;586335,5219;586337,0559;7026714,128
38;Point;Mab;586331,0058;7026735,875;Mab;32 V 586338 7026718;ab;7;63,358862;10,725749;7026735,875;586331,0058;586347,5592;7026740,648
35;Point;Mab;586350,6632;7026740,391;Mab;32 V 586338 7026718;ab;7;63,358898;10,726144;7026740,391;586350,6632;586355,5674;7026722,137
39;Point;Mab;586355,1793;7026720,733;Mab;32 V 586338 7026718;ab;7;63,358721;10,726224;7026720,733;586355,1793;586355,5674;7026722,137
31;Point;Maub;586298,7118;7026668,054;Maub;32 V 586300 7026673;ub;6;63,358262;10,725067;7026668,054;586298,7118;586294,7745;7026688,655
30;Point;Maub;586294,0686;7026687,601;Maub;32 V 586300 7026673;ub;6;63,358438;10,724985;7026687,601;586294,0686;586297,6668;7026668,774
34;Point;Maub;586313,8725;7026692,305;Maub;32 V 586300 7026673;ub;6;63,358476;10,725383;7026692,305;586313,8725;586297,6668;7026668,774
32;Point;Maub;586318,5157;7026672,759;Maub;32 V 586300 7026673;ub;6;63,358299;10,725465;7026672,759;586318,5157;586314,9175;7026691,586
33;Point;Maub;586298,7118;7026668,054;Maub;32 V 586300 7026673;ub;6;63,358262;10,725067;7026668,054;586298,7118;586317,8097;7026671,704
50;Point;Seb;622492,8687;6993124,772;;;;;;;;;;
54;Point;Seb;622492,8687;6993124,772;;;;;;;;;;
53;Point;Seb;622496,474;6993104,349;;;;;;;;;;
51;Point;Seb;622512,4585;6993128,23;;;;;;;;;;
52;Point;Seb;622516,0638;6993107,807;;;;;;;;;;
55;Point;Seub;622530,6734;6993135,789;;;;;;;;;;
59;Point;Seub;622530,6734;6993135,789;;;;;;;;;;
58;Point;Seub;622538,4768;6993117,721;;;;;;;;;;
56;Point;Seub;622548,5471;6993143,509;;;;;;;;;;
57;Point;Seub;622556,3504;6993125,441;;;;;;;;;;
3;Point;Slb;600242,5196;7002351,179;;;;;;;;;;
2;Point;Slb;600247,4513;7002332,559;;;;;;;;;;
0;Point;Slb;600261,4458;7002356,192;;;;;;;;;;
4;Point;Slb;600261,4458;7002356,192;;;;;;;;;;
1;Point;Slb;600266,3775;7002337,571;;;;;;;;;;
8;Point;Slub;600259,3028;7002287,634;;;;;;;;;;
7;Point;Slub;600262,3063;7002267,967;;;;;;;;;;
5;Point;Slub;600278,9692;7002290,637;;;;;;;;;;
9;Point;Slub;600278,9692;7002290,637;;;;;;;;;;
6;Point;Slub;600281,9728;7002270,971;;;;;;;;;;
