FID;Shape *;Name;utm32ost;utm32nord;;;;;;;;;;
126;Point; 1Nsub;626787,8354;7082196,469;;;;;;;;;;
125;Point; 1Nsub;626796,6653;7082178,418;;;;;;;;;;
129;Point; 1Nsub;626796,6653;7082178,418;;;;;;;;;;
127;Point; 1Nsub;626805,4401;7082205,236;;;;;;;;;;
128;Point; 1Nsub;626814,3977;7082187,248;;;;;;;;;;
91;Point;1Bbb;640316,7899;7124011,981;;;;;;;;;;
90;Point;1Bbb;640320,1243;7123992,014;;;;;;;;;;
94;Point;1Bbb;640320,1243;7123992,014;;;;;;;;;;
92;Point;1Bbb;640336,8428;7124015,33;;;;;;;;;;
93;Point;1Bbb;640340,1772;7123995,363;;;;;;;;;;
95;Point;1Bbub;640368,1756;7123984,738;;;;;;;;;;
99;Point;1Bbub;640368,1756;7123984,738;;;;;;;;;;
96;Point;1Bbub;640374,4585;7124003,796;;;;;;;;;;
98;Point;1Bbub;640386,8182;7123978,592;;;;;;;;;;
97;Point;1Bbub;640393,1011;7123997,651;;;;;;;;;;
146;Point;1Kb;612349,2613;7128552,787;;;;;;;;;;
145;Point;1Kb;612355,8154;7128534,066;;;;;;;;;;
149;Point;1Kb;612355,8154;7128534,066;;;;;;;;;;
147;Point;1Kb;612368,2499;7128559,435;;;;;;;;;;
148;Point;1Kb;612374,8039;7128540,714;;;;;;;;;;
140;Point;1Kub;612335,2854;7128446,555;;;;;;;;;;
144;Point;1Kub;612335,2854;7128446,555;;;;;;;;;;
141;Point;1Kub;612339,7837;7128465,874;;;;;;;;;;
143;Point;1Kub;612354,6038;7128442,057;;;;;;;;;;
142;Point;1Kub;612359,1021;7128461,375;;;;;;;;;;
121;Point;1Nsb;626733,46;7082167,708;;;;;;;;;;
122;Point;1Nsb;626747,1208;7082182,445;;;;;;;;;;
120;Point;1Nsb;626748,1968;7082154,047;;;;;;;;;;
124;Point;1Nsb;626748,1968;7082154,047;;;;;;;;;;
123;Point;1Nsb;626761,8575;7082168,784;;;;;;;;;;
135;Point;1Sb;612446,4078;7119294,296;;;;;;;;;;
139;Point;1Sb;612446,4078;7119294,296;;;;;;;;;;
136;Point;1Sb;612460,062;7119308,82;;;;;;;;;;
138;Point;1Sb;612460,9313;7119280,642;;;;;;;;;;
137;Point;1Sb;612474,5855;7119295,165;;;;;;;;;;
130;Point;1Sub;612413,7183;7119263,195;;;;;;;;;;
134;Point;1Sub;612413,7183;7119263,195;;;;;;;;;;
131;Point;1Sub;612425,1247;7119279,74;;;;;;;;;;
133;Point;1Sub;612430,1302;7119251,881;;;;;;;;;;
132;Point;1Sub;612441,5367;7119268,426;;;;;;;;;;
101;Point;1Vbb;637949,6365;7069022,005;;;;;;;;;;
100;Point;1Vbb;637951,2047;7069002,214;;;;;;;;;;
104;Point;1Vbb;637951,2047;7069002,214;;;;;;;;;;
102;Point;1Vbb;637969,706;7069023,595;;;;;;;;;;
103;Point;1Vbb;637971,2742;7069003,805;;;;;;;;;;
106;Point;1Vbub;637939,3298;7069062,69;;;;;;;;;;
105;Point;1Vbub;637940,8119;7069042,752;;;;;;;;;;
109;Point;1Vbub;637940,8119;7069042,752;;;;;;;;;;
107;Point;1Vbub;637959,2674;7069064,172;;;;;;;;;;
108;Point;1Vbub;637960,7495;7069044,234;;;;;;;;;;
85;Point;2Bbb;638923,0189;7122420,612;;;;;;;;;;
89;Point;2Bbb;638923,0189;7122420,612;;;;;;;;;;
86;Point;2Bbb;638936,8274;7122435,041;;;;;;;;;;
88;Point;2Bbb;638937,5607;7122406,695;;;;;;;;;;
87;Point;2Bbb;638951,2556;7122421,232;;;;;;;;;;
80;Point;2Bbub;638885,6227;7122385,557;;;;;;;;;;
84;Point;2Bbub;638885,6227;7122385,557;;;;;;;;;;
81;Point;2Bbub;638894,4602;7122403,466;;;;;;;;;;
83;Point;2Bbub;638902,9681;7122376,998;;;;;;;;;;
82;Point;2Bbub;638911,8055;7122394,907;;;;;;;north;east;gamle øst;gamle nord
110;Point;2Vbb;632223,3349;7070383,153;2Vbb;32 V 632224 7070402;bb;22;63,736128;11,678649;7070383,153;632223,3349;632223,5806;7070402,335
111;Point;2Vbb;632222,6723;7070403,257;2Vbb;32 V 632224 7070402;bb;22;63,736309;11,678652;7070403,257;632222,6723;632223,5806;7070422,449
114;Point;2Vbb;632242,6745;7070403,916;2Vbb;32 V 632224 7070402;bb;22;63,736307;11,679057;7070403,916;632242,6745;632223,5806;7070402,335
112;Point;2Vbb;632243,3371;7070383,813;2Vbb;32 V 632224 7070402;bb;22;63,736126;11,679054;7070383,813;632243,3371;632243,5937;7070422,449
113;Point;2Vbb;632223,3349;7070383,153;2Vbb;32 V 632224 7070402;bb;22;63,736128;11,678649;7070383,153;632223,3349;632243,5937;7070402,335
115;Point;2Vbub;632270,0012;7070388,336;2Vbub;32 V 632268 7070407;ub;23;63,736157;11,679597;7070388,336;632270,0012;632268,3575;7070406,58
116;Point;2Vbub;632267,5878;7070408,203;2Vbub;32 V 632268 7070407;ub;23;63,736336;11,679565;7070408,203;632267,5878;632268,3575;7070426,593
119;Point;2Vbub;632287,4549;7070410,617;2Vbub;32 V 632268 7070407;ub;23;63,73635;11,679969;7070410,617;632287,4549;632268,3575;7070406,58
117;Point;2Vbub;632289,8683;7070390,75;2Vbub;32 V 632268 7070407;ub;23;63,736171;11,680001;7070390,75;632289,8683;632288,3706;7070426,593
118;Point;2Vbub;632270,0012;7070388,336;2Vbub;32 V 632268 7070407;ub;23;63,736157;11,679597;7070388,336;632270,0012;632288,3706;7070406,58
62;Point;Brb;573723,3634;7025733,487;;;;;;;;;;
61;Point;Brb;573730,964;7025715,171;;;;;;;;;;
63;Point;Brb;573742,3583;7025741,369;;;;;;;;;;
60;Point;Brb;573749,9588;7025723,053;;;;;;;;;;
64;Point;Brb;573749,9588;7025723,053;;;;;;;;;;
67;Point;Brub;573674,6926;7025700,966;;;;;;;;;;
66;Point;Brub;573675,1831;7025681,141;;;;;;;;;;
68;Point;Brub;573694,8845;7025701,466;;;;;;;;;;
65;Point;Brub;573695,375;7025681,641;;;;;;;;;;
69;Point;Brub;573695,375;7025681,641;;;;;;;;;;
11;Point;Flb;602328,1064;7015585,074;;;;;;;;;;
10;Point;Flb;602329,075;7015564,767;;;;;;;;;;
14;Point;Flb;602329,075;7015564,767;;;;;;;;;;
12;Point;Flb;602347,9905;7015586,023;;;;;;;;;;
