FID;Shape *;Id;flatenavn;treatment;ORIG_FID;latitude;longitude;utm32north;utm32east
75;Point;0;Kviteseid 1 B;B;15;59,343753;8,199296;6578603,935;454457,7814
76;Point;0;Kviteseid 1 B;B;15;59,343582;8,199191;6578584,934;454451,5599
77;Point;0;Kviteseid 1 B;B;15;59,343636;8,198855;6578591,154;454432,5492
78;Point;0;Kviteseid 1 B;B;15;59,343807;8,198961;6578610,165;454438,7695
79;Point;0;Kviteseid 1 B;B;15;59,343753;8,199296;6578603,935;454457,7814
80;Point;0;Fritz�e 2 UB;UB;16;59,367348;9,823943;6581247,325;546831,4451
81;Point;0;Fritz�e 2 UB;UB;16;59,367173;9,823861;6581227,817;546827,037
82;Point;0;Fritz�e 2 UB;UB;16;59,367215;9,823519;6581232,225;546807,5293
83;Point;0;Fritz�e 2 UB;UB;16;59,36739;9,8236;6581251,733;546811,9374
84;Point;0;Fritz�e 2 UB;UB;16;59,367348;9,823943;6581247,325;546831,4451
85;Point;0;Fritz�e 2 B;B;17;59,367865;9,824202;6581305,038;546845,4812
86;Point;0;Fritz�e 2 B;B;17;59,367693;9,824095;6581285,915;546839,6352
87;Point;0;Fritz�e 2 B;B;17;59,367748;9,82376;6581291,761;546820,5122
88;Point;0;Fritz�e 2 B;B;17;59,367919;9,823867;6581310,884;546826,3582
89;Point;0;Fritz�e 2 B;B;17;59,367865;9,824202;6581305,038;546845,4812
90;Point;0;Kviteseid 3 B;B;18;59,372494;8,267952;6581759,321;458397,8558
91;Point;0;Kviteseid 3 B;B;18;59,372355;8,267729;6581744;458385
92;Point;0;Kviteseid 3 B;B;18;59,372469;8,267457;6581756,856;458369,6791
93;Point;0;Kviteseid 3 B;B;18;59,372608;8,26768;6581772,177;458382,5349
94;Point;0;Kviteseid 3 B;B;18;59,372494;8,267952;6581759,321;458397,8558
95;Point;0;Kviteseid 3 UB;UB;19;59,37289;8,267031;6581804,008;458345,973
96;Point;0;Kviteseid 3 UB;UB;19;59,37276;8,266788;6581789,665;458332,0347
97;Point;0;Kviteseid 3 UB;UB;19;59,372884;8,266533;6581803,603;458317,6917
98;Point;0;Kviteseid 3 UB;UB;19;59,373014;8,266776;6581817,946;458331,63
99;Point;0;Kviteseid 3 UB;UB;19;59,37289;8,267031;6581804,008;458345,973
100;Point;0;Fritz�e 1 UB;UB;20;59,41612;9,738704;6586621,38;541926,47
101;Point;0;Fritz�e 1 UB;UB;20;59,415974;9,738498;6586605;541915
102;Point;0;Fritz�e 1 UB;UB;20;59,416079;9,738212;6586616,47;541898,62
103;Point;0;Fritz�e 1 UB;UB;20;59,416225;9,738417;6586632,85;541910,09
104;Point;0;Fritz�e 1 UB;UB;20;59,41612;9,738704;6586621,38;541926,47
105;Point;0;Fritz�e 1 B;B;21;59,416443;9,739466;6586657,86;541969,32
106;Point;0;Fritz�e 1 B;B;21;59,416329;9,739193;6586645;541954
107;Point;0;Fritz�e 1 B;B;21;59,416468;9,73897;6586660,32;541941,14
108;Point;0;Fritz�e 1 B;B;21;59,416582;9,739242;6586673,18;541956,47
109;Point;0;Fritz�e 1 B;B;21;59,416443;9,739466;6586657,86;541969,32
110;Point;0;Notodden 6 UB;UB;22;59,554756;9,012267;6601827,077;500693,3781
111;Point;0;Notodden 6 UB;UB;22;59,554737;9,011915;6601825,005;500673,4899
112;Point;0;Notodden 6 UB;UB;22;59,554916;9,011878;6601844,893;500671,4171
113;Point;0;Notodden 6 UB;UB;22;59,554934;9,01223;6601846,975;500691,3051
114;Point;0;Notodden 6 UB;UB;22;59,554756;9,012267;6601827,077;500693,3781
115;Point;0;Notodden 6 B;B;23;59,555069;9,011428;6601862,007;500645,9909
116;Point;0;Notodden 6 B;B;23;59,554897;9,011328;6601842,831;500640,3233
117;Point;0;Notodden 6 B;B;23;59,554948;9,010989;6601848,499;500621,1471
118;Point;0;Notodden 6 B;B;23;59,55512;9,011089;6601867,675;500626,8147
119;Point;0;Notodden 6 B;B;23;59,555069;9,011428;6601862,007;500645,9909
120;Point;0;Notodden 1 UB;UB;24;59,599279;9,321162;6606829,018;518129,8317
121;Point;0;Notodden 1 UB;UB;24;59,599178;9,32087;6606817,622;518113,393
122;Point;0;Notodden 1 UB;UB;24;59,599326;9,32067;6606834,061;518101,9977
123;Point;0;Notodden 1 UB;UB;24;59,599427;9,320962;6606845,455;518118,4463
124;Point;0;Notodden 1 UB;UB;24;59,599279;9,321162;6606829,018;518129,8317
125;Point;0;Notodden 1 B;B;25;59,599467;9,321985;6606850,191;518176,1791
126;Point;0;Notodden 1 B;B;25;59,599404;9,321653;6606843,074;518157,4926
127;Point;0;Notodden 1 B;B;25;59,599572;9,321529;6606861,76;518150,3749
128;Point;0;Notodden 1 B;B;25;59,599635;9,321861;6606868,878;518169,0614
129;Point;0;Notodden 1 B;B;25;59,599467;9,321985;6606850,191;518176,1791
130;Point;0;Notodden 3 B;B;26;59,676848;9,080533;6615426,159;504535,7002
131;Point;0;Notodden 3 B;B;26;59,676721;9,080283;6615411,961;504521,6152
132;Point;0;Notodden 3 B;B;26;59,676848;9,080031;6615426,046;504507,4168
133;Point;0;Notodden 3 B;B;26;59,676975;9,080282;6615440,244;504521,5018
134;Point;0;Notodden 3 B;B;26;59,676848;9,080533;6615426,159;504535,7002
135;Point;0;Notodden 3 UB;UB;27;59,677306;9,081051;6615477,216;504564,7826
136;Point;0;Notodden 3 UB;UB;27;59,677274;9,080702;6615473,563;504545,1191
137;Point;0;Notodden 3 UB;UB;27;59,67745;9,080637;6615493,226;504541,4659
138;Point;0;Notodden 3 UB;UB;27;59,677483;9,080986;6615496,88;504561,1294
139;Point;0;Notodden 3 UB;UB;27;59,677306;9,081051;6615477,216;504564,7826
140;Point;0;Notodden 5 UB;UB;28;59,694649;8,970865;6617406,076;498359,9707
141;Point;0;Notodden 5 UB;UB;28;59,69447;8,970844;6617386,111;498358,7834
142;Point;0;Notodden 5 UB;UB;28;59,69448;8,970489;6617387,299;498338,8187
143;Point;0;Notodden 5 UB;UB;28;59,694659;8,97051;6617407,263;498340,006
144;Point;0;Notodden 5 UB;UB;28;59,694649;8,970865;6617406,076;498359,9707
145;Point;0;Notodden 5 B;B;29;59,694996;8,971261;6617444,784;498382,2848
146;Point;0;Notodden 5 B;B;29;59,694817;8,971248;6617424,797;498381,556
147;Point;0;Notodden 5 B;B;29;59,694823;8,970893;6617425,526;498361,5692
148;Point;0;Notodden 5 B;B;29;59,695003;8,970906;6617445,513;498362,2981
149;Point;0;Notodden 5 B;B;29;59,694996;8,971261;6617444,784;498382,2848
150;Point;0;Notodden 4 B;B;30;59,732737;9,107525;6621652,271;506045,8057
151;Point;0;Notodden 4 B;B;30;59,732563;9,107612;6621632,891;506050,7442
152;Point;0;Notodden 4 B;B;30;59,732519;9,107268;6621627,952;506031,3635
153;Point;0;Notodden 4 B;B;30;59,732693;9,10718;6621647,333;506026,425
154;Point;0;Notodden 4 B;B;30;59,732737;9,107525;6621652,271;506045,8057
155;Point;0;Notodden 4 UB;UB;31;59,734604;9,107947;6621860,223;506069,1649
156;Point;0;Notodden 4 UB;UB;31;59,734425;9,107926;6621840,255;506068,0419
157;Point;0;Notodden 4 UB;UB;31;59,734435;9,107571;6621841,378;506048,0735
158;Point;0;Notodden 4 UB;UB;31;59,734615;9,107591;6621861,346;506049,1964
159;Point;0;Notodden 4 UB;UB;31;59,734604;9,107947;6621860,223;506069,1649
