FID;Shape *;Id;flatenavn;treatment;ORIG_FID;latitude;longitude;utm32north;utm32east
0;Point;0;Drangedal 4 UB;UB;0;59,021776;8,822936;6542490,219;489833,6769
1;Point;0;Drangedal 4 UB;UB;0;59,021633;8,822724;6542474,37;489821,4838
2;Point;0;Drangedal 4 UB;UB;0;59,021742;8,822447;6542486,563;489805,6342
3;Point;0;Drangedal 4 UB;UB;0;59,021885;8,822659;6542502,412;489817,8273
4;Point;0;Drangedal 4 UB;UB;0;59,021776;8,822936;6542490,219;489833,6769
5;Point;0;Drangedal 4 B;B;1;59,022243;8,822901;6542542,217;489831,825
6;Point;0;Drangedal 4 B;B;1;59,022194;8,822566;6542536,813;489812,5656
7;Point;0;Drangedal 4 B;B;1;59,022366;8,822471;6542556,072;489807,1614
8;Point;0;Drangedal 4 B;B;1;59,022415;8,822806;6542561,475;489826,4109
9;Point;0;Drangedal 4 B;B;1;59,022243;8,822901;6542542,217;489831,825
10;Point;0;Drangedal 3 B;B;2;59,05659;8,834681;6546365,161;490517,635
11;Point;0;Drangedal 3 B;B;2;59,056435;8,834507;6546347,841;490507,635
12;Point;0;Drangedal 3 B;B;2;59,056524;8,834205;6546357,841;490490,315
13;Point;0;Drangedal 3 B;B;2;59,05668;8,834379;6546375,161;490500,315
14;Point;0;Drangedal 3 B;B;2;59,05659;8,834681;6546365,161;490517,635
15;Point;0;Drangedal 3 UB;UB;3;59,057104;8,834071;6546422,414;490482,7656
16;Point;0;Drangedal 3 UB;UB;3;59,056988;8,833804;6546409,554;490467,4456
17;Point;0;Drangedal 3 UB;UB;3;59,057125;8,833579;6546424,874;490454,5856
18;Point;0;Drangedal 3 UB;UB;3;59,057241;8,833846;6546437,734;490469,9156
19;Point;0;Drangedal 3 UB;UB;3;59,057104;8,834071;6546422,414;490482,7656
20;Point;0;Drangedal 1 UB;UB;4;59,127953;9,147378;6554309,088;508435,7795
21;Point;0;Drangedal 1 UB;UB;4;59,127877;9,147061;6554300,615;508417,667
22;Point;0;Drangedal 1 UB;UB;4;59,12804;9,146914;6554318,728;508409,1943
23;Point;0;Drangedal 1 UB;UB;4;59,128116;9,147231;6554327,2;508427,3068
24;Point;0;Drangedal 1 UB;UB;4;59,127953;9,147378;6554309,088;508435,7795
25;Point;0;Drangedal 1 B;B;5;59,129384;9,147176;6554468,463;508423,8331
26;Point;0;Drangedal 1 B;B;5;59,129335;9,14684;6554462,905;508404,6254
27;Point;0;Drangedal 1 B;B;5;59,129507;9,146743;6554482,112;508399,0666
28;Point;0;Drangedal 1 B;B;5;59,129557;9,147079;6554487,681;508418,2723
29;Point;0;Drangedal 1 B;B;5;59,129384;9,147176;6554468,463;508423,8331
30;Point;0;Cappelen 1 B;B;6;59,141763;9,263133;6555867,3;515055,3648
31;Point;0;Cappelen 1 B;B;6;59,141648;9,262864;6555854,421;515040,0609
32;Point;0;Cappelen 1 B;B;6;59,141786;9,26264;6555869,725;515027,1817
33;Point;0;Cappelen 1 B;B;6;59,141901;9,262908;6555882,606;515042,4757
34;Point;0;Cappelen 1 B;B;6;59,141763;9,263133;6555867,3;515055,3648
35;Point;0;Cappelen 1 UB;UB;7;59,141803;9,263985;6555871,902;515104,102
36;Point;0;Cappelen 1 UB;UB;7;59,141728;9,263667;6555863,466;515085,9687
37;Point;0;Cappelen 1 UB;UB;7;59,141891;9,263521;6555881,599;515077,5327
38;Point;0;Cappelen 1 UB;UB;7;59,141966;9,263839;6555890,035;515095,6659
39;Point;0;Cappelen 1 UB;UB;7;59,141803;9,263985;6555871,902;515104,102
40;Point;0;Cappelen 2 UB;UB;8;59,261997;9,125103;6569232,799;507132,7597
41;Point;0;Cappelen 2 UB;UB;8;59,26185;9,124901;6569216,419;507121,2897
42;Point;0;Cappelen 2 UB;UB;8;59,261953;9,124614;6569227,889;507104,9097
43;Point;0;Cappelen 2 UB;UB;8;59,2621;9,124816;6569244,269;507116,3797
44;Point;0;Cappelen 2 UB;UB;8;59,261997;9,125103;6569232,799;507132,7597
45;Point;0;Cappelen 2 B;B;9;59,262453;9,124887;6569283,566;507120,3555
46;Point;0;Cappelen 2 B;B;9;59,262276;9,124825;6569263,866;507116,8855
47;Point;0;Cappelen 2 B;B;9;59,262308;9,12448;6569267,336;507097,1855
48;Point;0;Cappelen 2 B;B;9;59,262484;9,124542;6569287,036;507100,6655
49;Point;0;Cappelen 2 B;B;9;59,262453;9,124887;6569283,566;507120,3555
50;Point;0;Kviteseid 2 B;B;10;59,30876;8,549759;6574520,078;474364,7027
51;Point;0;Kviteseid 2 B;B;10;59,308707;8,549423;6574514,34;474345,5433
52;Point;0;Kviteseid 2 B;B;10;59,308879;8,54932;6574533,5;474339,8059
53;Point;0;Kviteseid 2 B;B;10;59,308932;8,549656;6574539,237;474358,9653
54;Point;0;Kviteseid 2 B;B;10;59,30876;8,549759;6574520,078;474364,7027
55;Point;0;Kviteseid 2 UB;UB;11;59,309186;8,549579;6574567,587;474354,7759
56;Point;0;Kviteseid 2 UB;UB;11;59,309127;8,549247;6574561,169;474335,8337
57;Point;0;Kviteseid 2 UB;UB;11;59,309297;8,549132;6574580,111;474329,4156
58;Point;0;Kviteseid 2 UB;UB;11;59,309356;8,549464;6574586,529;474348,3578
59;Point;0;Kviteseid 2 UB;UB;11;59,309186;8,549579;6574567,587;474354,7759
60;Point;0;Fyresdal 1 B;B;12;59,336188;8,092572;6577839,321;448376,3205
61;Point;0;Fyresdal 1 B;B;12;59,336031;8,092401;6577822;448366,3205
62;Point;0;Fyresdal 1 B;B;12;59,336119;8,092094;6577832;448349
63;Point;0;Fyresdal 1 B;B;12;59,336275;8,092266;6577849,321;448359
64;Point;0;Fyresdal 1 B;B;12;59,336188;8,092572;6577839,321;448376,3205
65;Point;0;Fyresdal 1 UB;UB;13;59,336952;8,093018;6577924,088;448402,8546
66;Point;0;Fyresdal 1 UB;UB;13;59,336847;8,092733;6577912,617;448386,4715
67;Point;0;Fyresdal 1 UB;UB;13;59,336993;8,092528;6577929;448375
68;Point;0;Fyresdal 1 UB;UB;13;59,337098;8,092813;6577940,472;448391,383
69;Point;0;Fyresdal 1 UB;UB;13;59,336952;8,093018;6577924,088;448402,8546
70;Point;0;Kviteseid 1 UB;UB;14;59,343363;8,198964;6578560,688;454438,3773
71;Point;0;Kviteseid 1 UB;UB;14;59,343222;8,198746;6578545,145;454425,7757
72;Point;0;Kviteseid 1 UB;UB;14;59,343334;8,19847;6578557,747;454410,2426
73;Point;0;Kviteseid 1 UB;UB;14;59,343474;8,198689;6578573,28;454422,8443
74;Point;0;Kviteseid 1 UB;UB;14;59,343363;8,198964;6578560,688;454438,3773
