FID;Shape *;OBJECTID;AREA;PERIMETER;Uthegningi;Gjerda;Shape_Leng;Shape_Area;FLATE;ORIG_FID;latitude;longitude;utm32north;utm32east
0;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950327;11,884544;6649390,582;661100,4079
1;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950168;11,884377;6649372,518;661091,8232
2;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950252;11,884061;6649381,103;661073,7593
3;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950411;11,884228;6649399,167;661082,3441
4;Point;1;0;0;SSB1;nei;80,000014;400,000135;B;0;59,950327;11,884544;6649390,582;661100,4079
5;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043306;11,702895;6659311,305;650536,1599
6;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043128;11,702845;6659291,403;650534,1823
7;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043153;11,70249;6659293,381;650514,2803
8;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043331;11,70254;6659313,283;650516,2579
9;Point;2;0;0;STSKN2;nei;80,000051;400,000506;B;1;60,043306;11,702895;6659311,305;650536,1599
10;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043606;11,703742;6659346,581;650581,9522
11;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043456;11,703544;6659329,484;650571,575
12;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043555;11,703245;6659339,861;650554,4778
13;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043705;11,703443;6659356,958;650564,855
14;Point;3;0;0;STSKN1;ja;80,000019;400,000192;UB;2;60,043606;11,703742;6659346,581;650581,9522
15;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950097;11,885397;6649367,061;661149,1152
16;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,949935;11,885549;6649349,343;661158,393
17;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,949858;11,885225;6649340,065;661140,6752
18;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950021;11,885073;6649357,783;661131,3974
19;Point;4;0;0;SSB2;ja;79,999894;399,998937;UB;3;59,950097;11,885397;6649367,061;661149,1152
