"","LocalityName","Region","LocalityCode","FID","Experiment","Month","Year","Avg_Temp_C"
"1","Stig Dæhlen","Hedmark","SDB",0,"115",1,2017,-2.32258064516129
"2","Stig Dæhlen","Hedmark","SDB",0,"115",2,2017,-2.65714285714286
"3","Stig Dæhlen","Hedmark","SDB",0,"115",3,2017,1.33225806451613
"4","Stig Dæhlen","Hedmark","SDB",0,"115",4,2017,3.43666666666667
"5","Stig Dæhlen","Hedmark","SDB",0,"115",5,2017,10.3838709677419
"6","Stig Dæhlen","Hedmark","SDB",0,"115",6,2017,13.59
"7","Stig Dæhlen","Hedmark","SDB",0,"115",7,2017,15.0709677419355
"8","Stig Dæhlen","Hedmark","SDB",0,"115",8,2017,13.841935483871
"9","Stig Dæhlen","Hedmark","SDB",0,"115",9,2017,10.7166666666667
"10","Stig Dæhlen","Hedmark","SDB",0,"115",10,2017,5.85483870967742
"11","Stig Dæhlen","Hedmark","SDB",0,"115",11,2017,0.186666666666667
"12","Stig Dæhlen","Hedmark","SDB",0,"115",12,2017,-3.2258064516129
"13","Nome_Cappelen2","Telemark","2CAB",2,"63",1,2017,-2.51935483870968
"14","Nome_Cappelen2","Telemark","2CAB",2,"63",2,2017,-1.88214285714286
"15","Nome_Cappelen2","Telemark","2CAB",2,"63",3,2017,1.93870967741935
"16","Nome_Cappelen2","Telemark","2CAB",2,"63",4,2017,5.14666666666667
"17","Nome_Cappelen2","Telemark","2CAB",2,"63",5,2017,11.6677419354839
"18","Nome_Cappelen2","Telemark","2CAB",2,"63",6,2017,14.53
"19","Nome_Cappelen2","Telemark","2CAB",2,"63",7,2017,15.9516129032258
"20","Nome_Cappelen2","Telemark","2CAB",2,"63",8,2017,14.4548387096774
"21","Nome_Cappelen2","Telemark","2CAB",2,"63",9,2017,11.6066666666667
"22","Nome_Cappelen2","Telemark","2CAB",2,"63",10,2017,6.71935483870968
"23","Nome_Cappelen2","Telemark","2CAB",2,"63",11,2017,0.493333333333333
"24","Nome_Cappelen2","Telemark","2CAB",2,"63",12,2017,-2.80967741935484
"25","Eidskog","Hedmark","STSKNB",3,"109",1,2016,-8.98064516129032
"26","Eidskog","Hedmark","STSKNB",3,"109",2,2016,-2.90689655172414
"27","Eidskog","Hedmark","STSKNB",3,"109",3,2016,1.56774193548387
"28","Eidskog","Hedmark","STSKNB",3,"109",4,2016,3.83
"29","Eidskog","Hedmark","STSKNB",3,"109",5,2016,10.4290322580645
"30","Eidskog","Hedmark","STSKNB",3,"109",6,2016,15.0366666666667
"31","Eidskog","Hedmark","STSKNB",3,"109",7,2016,15.5806451612903
"32","Eidskog","Hedmark","STSKNB",3,"109",8,2016,13.9354838709677
"33","Eidskog","Hedmark","STSKNB",3,"109",9,2016,13.5733333333333
"34","Eidskog","Hedmark","STSKNB",3,"109",10,2016,4.40322580645161
"35","Eidskog","Hedmark","STSKNB",3,"109",11,2016,-0.34
"36","Eidskog","Hedmark","STSKNB",3,"109",12,2016,-0.767741935483871
"37","Notodden6","Telemark","6NOB",4,"83",1,2017,-3.25806451612903
"38","Notodden6","Telemark","6NOB",4,"83",2,2017,-2.96428571428571
"39","Notodden6","Telemark","6NOB",4,"83",3,2017,0.632258064516129
"40","Notodden6","Telemark","6NOB",4,"83",4,2017,3.76666666666667
"41","Notodden6","Telemark","6NOB",4,"83",5,2017,10.4129032258065
"42","Notodden6","Telemark","6NOB",4,"83",6,2017,13.0166666666667
