"","Region","LocalityName","LocalityCode","Treatment","Year","Years_Since_Exclosure","Birch_Volume_m3","Birch_Volume_m3_ha","Pine_Volume_m3","Pine_Volume_m3_ha","Spruce_Volume_m3","Spruce_Volume_m3_ha"
"1","Trøndelag","steinkjer_1bbb","1BBB","B",2009,1,0.000679190063157895,0.135120569813094,0.000166408143480368,0.0331058482570574,0.00151175058396055,0.300753222699226
"2","Trøndelag","steinkjer_1bbb","1BBB","B",2010,2,0.00154387983157895,0.30714513341959,0.000166408143480368,0.0331058482570574,0.00307052296911498,0.610861135514815
"3","Trøndelag","steinkjer_1bbb","1BBB","B",2011,3,0.00172317456842105,0.342814687968067,0.000166408143480368,0.0331058482570574,0.00409905268621854,0.815480621257241
"4","Trøndelag","steinkjer_1bbb","1BBB","B",2012,4,0.00279894298947368,0.556832015258929,0.000665632573921473,0.13242339302823,0.0034183882688814,0.680066737999777
"5","Trøndelag","steinkjer_1bbb","1BBB","B",2013,5,0.00441039621052632,0.877420447373783,0.000665632573921473,0.13242339302823,0.00670895406177004,1.33470400238394
"6","Trøndelag","steinkjer_1bbb","1BBB","B",2014,6,0.00412831141052632,0.821301459509923,0.000665632573921473,0.13242339302823,0.0172142940565793,3.42467498867753
"7","Trøndelag","steinkjer_1bbb","1BBB","B",2015,7,0.00512977456842105,1.02053622438913,0.000665632573921473,0.13242339302823,0.0369691084868933,7.35477044673701
"8","Trøndelag","steinkjer_1bbb","1BBB","B",2016,8,0.0213906698105263,4.2555385454898,0.000665632573921473,0.13242339302823,0.0442893459641837,8.81108542063365
"9","Trøndelag","steinkjer_1bbb","1BBB","B",2017,9,0.0234350314947368,4.66225137987702,0,0,0.0428846418375291,8.53162841396033
"10","Trøndelag","steinkjer_1bbb","1BBB","B",2018,10,0.0203180912842105,4.04215582759308,0,0,0.0477641123799636,9.502368234585
"11","Trøndelag","steinkjer_1bbb","1BBUB","UB",2009,1,0.000756560421052632,0.150512913447765,0,0,0.00197601868673761,0.393116427045307
"12","Trøndelag","steinkjer_1bbb","1BBUB","UB",2010,2,0.00139847221052632,0.278217206352391,0,0,0.00839807941863484,1.67074481494256
"13","Trøndelag","steinkjer_1bbb","1BBUB","UB",2011,3,0.00318536315789474,0.633707865152197,0,0,0.00617505839605503,1.22848883451659
"14","Trøndelag","steinkjer_1bbb","1BBUB","UB",2012,4,0.00272446463157895,0.542015016743537,0,0,0.0177841681806385,3.53804784340776
"15","Trøndelag","steinkjer_1bbb","1BBUB","UB",2013,5,0.00565633473684211,1.12529204143852,0,0,0.0219832078899559,4.37342025087904
"16","Trøndelag","steinkjer_1bbb","1BBUB","UB",2014,6,0.00643202021052632,1.2796097632153,0,0,0.0279112639501686,5.55276953201495
"17","Trøndelag","steinkjer_1bbb","1BBUB","UB",2015,7,0.00962274063157894,1.91438342200877,0,0,0.0311222943161172,6.19158372596357
"18","Trøndelag","steinkjer_1bbb","1BBUB","UB",2016,8,0.0287702894736842,5.72366722990196,0,0,0.0311222943161172,6.19158372596357
"19","Trøndelag","steinkjer_1bbb","1BBUB","UB",2017,9,0.0304448882105263,6.05681806323179,0,0,0.0313692966519595,6.24072327934424
"20","Trøndelag","steinkjer_1bbb","1BBUB","UB",2018,10,0.0395734547368421,7.87288867073975,0,0,0.0385323643913832,7.66577032738347
"21","Telemark","nome_cappelen1","1CAB","B",2010,1,0.000281255410526316,0.0559539860707543,0.000665632573921472,0.13242339302823,0.00060168699714508,0.119701824737198
"22","Telemark","nome_cappelen1","1CAB","B",2011,2,0.000787355705263157,0.156639440580296,0.00133126514784295,0.264846786056459,0.00060168699714508,0.119701824737198
"23","Telemark","nome_cappelen1","1CAB","B",2012,3,0.000966650442105263,0.192308995128773,0.00199689772176442,0.397270179084689,0.00060168699714508,0.119701824737198
"24","Telemark","nome_cappelen1","1CAB","B",2013,4,0.00102499006315789,0.203915293964566,0.00399379544352884,0.79454035816938,0.00060168699714508,0.119701824737198
"25","Telemark","nome_cappelen1","1CAB","B",2014,5,0.0011299795368421,0.224802286101389,0.00482583616093068,0.960069599454667,0.00060168699714508,0.119701824737198
"26","Telemark","nome_cappelen1","1CAB","B",2015,6,0.00141426374736842,0.28135883278669,0.00898603974793989,1.7877158058811,0.00113192966519595,0.225190251810362
"27","Telemark","nome_cappelen1","1CAB","B",2016,7,0.00213034298947368,0.423818271569878,0.013978284052351,2.78089125359283,0.00181259408253309,0.360604135067825
