"","Site","Year","Month","Avg_Temp_C","LocalityName","Region","LocalityCode"
"1",0,2001,1,-4.75806451612903,"Stig Dæhlen","Hedmark","SDB"
"2",1,2001,1,-5.47096774193548,"Maarud 2","Hedmark","M2B"
"3",2,2001,1,-3.75806451612903,"Nome_Cappelen2","Telemark","2CAB"
"4",3,2001,1,-5.10645161290323,"Eidskog","Hedmark","STSKNB"
"5",4,2001,1,-6.6,"Notodden6","Telemark","6NOB"
"6",5,2001,1,-0.2,"namdalseid_1kub","Trøndelag","1KB"
"7",6,2001,1,-4.39677419354839,"Fet 3","Hedmark","FKB"
"8",7,2001,1,-4.7258064516129,"Didrik Holmsen","Hedmark","DHB"
"9",8,2001,1,-5.3,"Halvard Pramhus","Hedmark","HPB"
"10",9,2001,1,-3.14193548387097,"Selbu_kl","Trøndelag","KLB"
"11",10,2001,1,-5.9741935483871,"Kongsvinger 1","Hedmark","IAAB"
"12",11,2001,1,-1.52258064516129,"Nsb_Verdal","Trøndelag","1NSB"
"13",12,2001,1,-4.94193548387097,"Sl_Tydal","Trøndelag","SEB"
"14",13,2001,1,-4.82258064516129,"Nes 1","Hedmark","DDB"
"15",14,2001,1,-6.97741935483871,"Kviteseid2","Telemark","2KVB"
"16",15,2001,1,-1.92903225806452,"Bratsberg","Trøndelag","BRB"
"17",16,2001,1,-6.45806451612903,"Kviteseid1","Telemark","1KVB"
"18",17,2001,1,-3.63870967741935,"Selbu_Sl","Trøndelag","SLB"
"19",18,2001,1,-4.96451612903226,"Maarud 1","Hedmark","M1B"
"20",19,2001,1,-5.30645161290323,"Nes 2","Hedmark","OLB"
"21",20,2001,1,-6.0741935483871,"Kongsvinger 2","Hedmark","JCDB"
"22",21,2001,1,-7.83548387096774,"Notodden5","Telemark","5NOB"
"23",22,2001,1,-6.23548387096774,"Fritsøe1","Telemark","1FRB"
"24",23,2001,1,-7.76451612903226,"Notodden4","Telemark","4NOB"
"25",24,2001,1,-2.3258064516129,"verdal_2VB","Trøndelag","2VBB"
"26",25,2001,1,-5.54193548387097,"Truls Holm","Hedmark","THB"
"27",26,2001,1,-3.88709677419355,"Drangedal1","Telemark","1DRB"
"28",27,2001,1,-5.88709677419355,"Furesdal","Telemark","1FYB"
"29",28,2001,1,-0.958064516129032,"Sub_Namdalseid","Trøndelag","1SB"
"30",29,2001,1,-2.1,"Malvik","Trøndelag","MAB"
"31",30,2001,1,-3.93548387096774,"Drangedal4","Telemark","4DRB"
"32",31,2001,1,-3.30967741935484,"Nome_Cappelen1","Telemark","1CAB"
"33",32,2001,1,-0.593548387096774,"ingen","Trøndelag","1RB"
"34",33,2001,1,-4.20322580645161,"Singsås","Trøndelag","LAB"
"35",34,2001,1,-4.75483870967742,"Stangeskovene Aurskog","Hedmark","SSAB"
"36",35,2001,1,-4.26451612903226,"Hi_tydal","Trøndelag","HIB"
"37",36,2001,1,-7.61290322580645,"Notodden3","Telemark","3NOB"
