"","Site","Year","Month","Avg_Temp_C","LocalityName","Region","LocalityCode"
"38",37,2001,1,-4.08064516129032,"Drangedal3","Telemark","3DRB"
"39",38,2001,1,-1.99354838709677,"steinkjer_1BBb","Trøndelag","1BBB"
"40",39,2001,1,-2.58387096774194,"Selbu_Flub","Trøndelag","FLB"
"41",40,2001,1,-5.01612903225806,"Stangeskovene Eidskog","Hedmark","SSBB"
"42",41,2001,1,-5.90322580645161,"Maarud 3","Hedmark","M3B"
"43",42,2001,1,-5.53870967741936,"Fritsøe2","Telemark","2FRB"
"44",43,2001,1,-6.99354838709677,"Notodden1","Telemark","1NOB"
"45",44,2001,1,-7.23548387096774,"Kviteseid3","Telemark","3KVB"
"46",45,2001,1,-2.6258064516129,"verdal_1vb","Trøndelag","1VBB"
"47",46,2001,1,-4.59677419354839,"Sørum 1","Hedmark","SKB"
"48",47,2001,1,-1.96774193548387,"steinkjer_2BBb","Trøndelag","2BBB"
"49",0,2002,1,-5.39032258064516,"Stig Dæhlen","Hedmark","SDB"
"50",1,2002,1,-6.50967741935484,"Maarud 2","Hedmark","M2B"
"51",2,2002,1,-2.18387096774194,"Nome_Cappelen2","Telemark","2CAB"
"52",3,2002,1,-6.07741935483871,"Eidskog","Hedmark","STSKNB"
"53",4,2002,1,-4.25161290322581,"Notodden6","Telemark","6NOB"
"54",5,2002,1,-2.65806451612903,"namdalseid_1kub","Trøndelag","1KB"
"55",6,2002,1,-4.52903225806452,"Fet 3","Hedmark","FKB"
"56",7,2002,1,-4.81290322580645,"Didrik Holmsen","Hedmark","DHB"
"57",8,2002,1,-6.94193548387097,"Halvard Pramhus","Hedmark","HPB"
"58",9,2002,1,-3.53548387096774,"Selbu_kl","Trøndelag","KLB"
"59",10,2002,1,-7.01612903225806,"Kongsvinger 1","Hedmark","IAAB"
"60",11,2002,1,-3.05161290322581,"Nsb_Verdal","Trøndelag","1NSB"
"61",12,2002,1,-5.30322580645161,"Sl_Tydal","Trøndelag","SEB"
"62",13,2002,1,-5.95806451612903,"Nes 1","Hedmark","DDB"
"63",14,2002,1,-3.28064516129032,"Kviteseid2","Telemark","2KVB"
"64",15,2002,1,-2.49032258064516,"Bratsberg","Trøndelag","BRB"
"65",16,2002,1,-3.25161290322581,"Kviteseid1","Telemark","1KVB"
"66",17,2002,1,-4.03548387096774,"Selbu_Sl","Trøndelag","SLB"
"67",18,2002,1,-6.54838709677419,"Maarud 1","Hedmark","M1B"
"68",19,2002,1,-6.18709677419355,"Nes 2","Hedmark","OLB"
"69",20,2002,1,-6.48387096774194,"Kongsvinger 2","Hedmark","JCDB"
"70",21,2002,1,-4.25161290322581,"Notodden5","Telemark","5NOB"
"71",22,2002,1,-2.56129032258064,"Fritsøe1","Telemark","1FRB"
"72",23,2002,1,-4.46129032258064,"Notodden4","Telemark","4NOB"
"73",24,2002,1,-3.56451612903226,"verdal_2VB","Trøndelag","2VBB"
"74",25,2002,1,-5.24193548387097,"Truls Holm","Hedmark","THB"
"75",26,2002,1,-1.76774193548387,"Drangedal1","Telemark","1DRB"
"76",27,2002,1,-3.17741935483871,"Furesdal","Telemark","1FYB"
"77",28,2002,1,-3.38387096774194,"Sub_Namdalseid","Trøndelag","1SB"
"78",29,2002,1,-2.8,"Malvik","Trøndelag","MAB"
"79",30,2002,1,-1.17741935483871,"Drangedal4","Telemark","4DRB"
"80",31,2002,1,-1.45483870967742,"Nome_Cappelen1","Telemark","1CAB"
"81",32,2002,1,-3.08709677419355,"ingen","Trøndelag","1RB"
"82",33,2002,1,-4.46451612903226,"Singsås","Trøndelag","LAB"
"83",34,2002,1,-4.72903225806452,"Stangeskovene Aurskog","Hedmark","SSAB"
"84",35,2002,1,-4.54516129032258,"Hi_tydal","Trøndelag","HIB"
"85",36,2002,1,-4.24838709677419,"Notodden3","Telemark","3NOB"
"86",37,2002,1,-1.35806451612903,"Drangedal3","Telemark","3DRB"
"87",38,2002,1,-4.35161290322581,"steinkjer_1BBb","Trøndelag","1BBB"
"88",39,2002,1,-3.03225806451613,"Selbu_Flub","Trøndelag","FLB"
"89",40,2002,1,-5.81612903225806,"Stangeskovene Eidskog","Hedmark","SSBB"
"90",41,2002,1,-6.35806451612903,"Maarud 3","Hedmark","M3B"
"91",42,2002,1,-2.78064516129032,"Fritsøe2","Telemark","2FRB"
"92",43,2002,1,-3.99354838709677,"Notodden1","Telemark","1NOB"
"93",44,2002,1,-3.61290322580645,"Kviteseid3","Telemark","3KVB"
"94",45,2002,1,-3.74193548387097,"verdal_1vb","Trøndelag","1VBB"
"95",46,2002,1,-4.98709677419355,"Sørum 1","Hedmark","SKB"
"96",47,2002,1,-4.31290322580645,"steinkjer_2BBb","Trøndelag","2BBB"
"97",0,2003,1,-6.05483870967742,"Stig Dæhlen","Hedmark","SDB"
"98",1,2003,1,-6.6741935483871,"Maarud 2","Hedmark","M2B"
"99",2,2003,1,-3.55806451612903,"Nome_Cappelen2","Telemark","2CAB"
"100",3,2003,1,-6.48387096774194,"Eidskog","Hedmark","STSKNB"
"101",4,2003,1,-5.17741935483871,"Notodden6","Telemark","6NOB"
"102",5,2003,1,-4.83870967741935,"namdalseid_1kub","Trøndelag","1KB"
"103",6,2003,1,-5.5258064516129,"Fet 3","Hedmark","FKB"
"104",7,2003,1,-5.86129032258065,"Didrik Holmsen","Hedmark","DHB"
"105",8,2003,1,-6.93870967741935,"Halvard Pramhus","Hedmark","HPB"
"106",9,2003,1,-4.73225806451613,"Selbu_kl","Trøndelag","KLB"
"107",10,2003,1,-6.93870967741935,"Kongsvinger 1","Hedmark","IAAB"
"108",11,2003,1,-5.06451612903226,"Nsb_Verdal","Trøndelag","1NSB"
"109",12,2003,1,-5.95483870967742,"Sl_Tydal","Trøndelag","SEB"
"110",13,2003,1,-6.24193548387097,"Nes 1","Hedmark","DDB"
"111",14,2003,1,-5.82903225806452,"Kviteseid2","Telemark","2KVB"
"112",15,2003,1,-3.57096774193548,"Bratsberg","Trøndelag","BRB"
"113",16,2003,1,-5.54516129032258,"Kviteseid1","Telemark","1KVB"
"114",17,2003,1,-4.9741935483871,"Selbu_Sl","Trøndelag","SLB"
"115",18,2003,1,-6.53870967741936,"Maarud 1","Hedmark","M1B"
"116",19,2003,1,-6.49032258064516,"Nes 2","Hedmark","OLB"
"117",20,2003,1,-6.68709677419355,"Kongsvinger 2","Hedmark","JCDB"
"118",21,2003,1,-5.86451612903226,"Notodden5","Telemark","5NOB"
"119",22,2003,1,-4.81290322580645,"Fritsøe1","Telemark","1FRB"
"120",23,2003,1,-5.80967741935484,"Notodden4","Telemark","4NOB"
"121",24,2003,1,-5.6,"verdal_2VB","Trøndelag","2VBB"
"122",25,2003,1,-6.18709677419355,"Truls Holm","Hedmark","THB"
"123",26,2003,1,-3.63870967741935,"Drangedal1","Telemark","1DRB"
"124",27,2003,1,-5.23870967741936,"Furesdal","Telemark","1FYB"
"125",28,2003,1,-5.39677419354839,"Sub_Namdalseid","Trøndelag","1SB"
"126",29,2003,1,-4.00645161290323,"Malvik","Trøndelag","MAB"
"127",30,2003,1,-3.77741935483871,"Drangedal4","Telemark","4DRB"
"128",31,2003,1,-3.13870967741935,"Nome_Cappelen1","Telemark","1CAB"
"129",32,2003,1,-5.44193548387097,"ingen","Trøndelag","1RB"
"130",33,2003,1,-5.10645161290323,"Singsås","Trøndelag","LAB"
"131",34,2003,1,-5.8,"Stangeskovene Aurskog","Hedmark","SSAB"
"132",35,2003,1,-5.58709677419355,"Hi_tydal","Trøndelag","HIB"
"133",36,2003,1,-5.74193548387097,"Notodden3","Telemark","3NOB"
"134",37,2003,1,-3.85483870967742,"Drangedal3","Telemark","3DRB"
"135",38,2003,1,-6.98387096774194,"steinkjer_1BBb","Trøndelag","1BBB"
"136",39,2003,1,-4.40322580645161,"Selbu_Flub","Trøndelag","FLB"
"137",40,2003,1,-6.40645161290323,"Stangeskovene Eidskog","Hedmark","SSBB"
"138",41,2003,1,-6.6,"Maarud 3","Hedmark","M3B"
"139",42,2003,1,-4.37741935483871,"Fritsøe2","Telemark","2FRB"
"140",43,2003,1,-5.33548387096774,"Notodden1","Telemark","1NOB"
"141",44,2003,1,-6.03225806451613,"Kviteseid3","Telemark","3KVB"
"142",45,2003,1,-5.84516129032258,"verdal_1vb","Trøndelag","1VBB"
"143",46,2003,1,-5.78064516129032,"Sørum 1","Hedmark","SKB"
"144",47,2003,1,-6.89677419354839,"steinkjer_2BBb","Trøndelag","2BBB"
"145",0,2004,1,-5.50322580645161,"Stig Dæhlen","Hedmark","SDB"
"146",1,2004,1,-6.46129032258064,"Maarud 2","Hedmark","M2B"
"147",2,2004,1,-3.91612903225806,"Nome_Cappelen2","Telemark","2CAB"
"148",3,2004,1,-6.02903225806452,"Eidskog","Hedmark","STSKNB"
"149",4,2004,1,-7,"Notodden6","Telemark","6NOB"
"150",5,2004,1,-4.46451612903226,"namdalseid_1kub","Trøndelag","1KB"
"151",6,2004,1,-4.97096774193548,"Fet 3","Hedmark","FKB"
"152",7,2004,1,-5.42903225806452,"Didrik Holmsen","Hedmark","DHB"
"153",8,2004,1,-6.31935483870968,"Halvard Pramhus","Hedmark","HPB"
"154",9,2004,1,-5.26129032258065,"Selbu_kl","Trøndelag","KLB"
"155",10,2004,1,-7.04838709677419,"Kongsvinger 1","Hedmark","IAAB"
"156",11,2004,1,-4.93225806451613,"Nsb_Verdal","Trøndelag","1NSB"
"157",12,2004,1,-6.63870967741935,"Sl_Tydal","Trøndelag","SEB"
"158",13,2004,1,-5.6741935483871,"Nes 1","Hedmark","DDB"
"159",14,2004,1,-7.69677419354839,"Kviteseid2","Telemark","2KVB"
"160",15,2004,1,-4.44516129032258,"Bratsberg","Trøndelag","BRB"
"161",16,2004,1,-7.24516129032258,"Kviteseid1","Telemark","1KVB"
"162",17,2004,1,-5.72903225806452,"Selbu_Sl","Trøndelag","SLB"
"163",18,2004,1,-5.90645161290323,"Maarud 1","Hedmark","M1B"
"164",19,2004,1,-6.27741935483871,"Nes 2","Hedmark","OLB"
"165",20,2004,1,-7.09032258064516,"Kongsvinger 2","Hedmark","JCDB"
"166",21,2004,1,-8.82258064516129,"Notodden5","Telemark","5NOB"
"167",22,2004,1,-6.67096774193548,"Fritsøe1","Telemark","1FRB"
"168",23,2004,1,-8.68709677419355,"Notodden4","Telemark","4NOB"
"169",24,2004,1,-5.43870967741935,"verdal_2VB","Trøndelag","2VBB"
"170",25,2004,1,-6.10322580645161,"Truls Holm","Hedmark","THB"
"171",26,2004,1,-4.30645161290323,"Drangedal1","Telemark","1DRB"
"172",27,2004,1,-6.77096774193548,"Furesdal","Telemark","1FYB"
"173",28,2004,1,-5.14193548387097,"Sub_Namdalseid","Trøndelag","1SB"
"174",29,2004,1,-4.7258064516129,"Malvik","Trøndelag","MAB"
"175",30,2004,1,-4.53870967741936,"Drangedal4","Telemark","4DRB"
"176",31,2004,1,-3.44193548387097,"Nome_Cappelen1","Telemark","1CAB"
"177",32,2004,1,-4.80967741935484,"ingen","Trøndelag","1RB"
"178",33,2004,1,-5.81935483870968,"Singsås","Trøndelag","LAB"
"179",34,2004,1,-5.45161290322581,"Stangeskovene Aurskog","Hedmark","SSAB"
"180",35,2004,1,-6.05161290322581,"Hi_tydal","Trøndelag","HIB"
"181",36,2004,1,-8.48387096774194,"Notodden3","Telemark","3NOB"
"182",37,2004,1,-4.66129032258065,"Drangedal3","Telemark","3DRB"
"183",38,2004,1,-5.94838709677419,"steinkjer_1BBb","Trøndelag","1BBB"
"184",39,2004,1,-4.81290322580645,"Selbu_Flub","Trøndelag","FLB"
"185",40,2004,1,-5.83548387096774,"Stangeskovene Eidskog","Hedmark","SSBB"
"186",41,2004,1,-6.82903225806452,"Maarud 3","Hedmark","M3B"
"187",42,2004,1,-5.33548387096774,"Fritsøe2","Telemark","2FRB"
"188",43,2004,1,-7.47741935483871,"Notodden1","Telemark","1NOB"
"189",44,2004,1,-7.89677419354839,"Kviteseid3","Telemark","3KVB"
"190",45,2004,1,-5.62903225806452,"verdal_1vb","Trøndelag","1VBB"
"191",46,2004,1,-5.30645161290323,"Sørum 1","Hedmark","SKB"
"192",47,2004,1,-5.90967741935484,"steinkjer_2BBb","Trøndelag","2BBB"
"193",0,2005,1,-0.148387096774194,"Stig Dæhlen","Hedmark","SDB"
"194",1,2005,1,-0.751612903225807,"Maarud 2","Hedmark","M2B"
"195",2,2005,1,0.996774193548387,"Nome_Cappelen2","Telemark","2CAB"
"196",3,2005,1,-0.506451612903226,"Eidskog","Hedmark","STSKNB"
"197",4,2005,1,-0.906451612903226,"Notodden6","Telemark","6NOB"
"198",5,2005,1,0.396774193548387,"namdalseid_1kub","Trøndelag","1KB"
"199",6,2005,1,0.3,"Fet 3","Hedmark","FKB"
"200",7,2005,1,-0.164516129032258,"Didrik Holmsen","Hedmark","DHB"
"201",8,2005,1,-0.645161290322581,"Halvard Pramhus","Hedmark","HPB"
"202",9,2005,1,0.035483870967742,"Selbu_kl","Trøndelag","KLB"
"203",10,2005,1,-1.11612903225806,"Kongsvinger 1","Hedmark","IAAB"
"204",11,2005,1,0.335483870967742,"Nsb_Verdal","Trøndelag","1NSB"
"205",12,2005,1,-1.26451612903226,"Sl_Tydal","Trøndelag","SEB"
"206",13,2005,1,-0.0903225806451613,"Nes 1","Hedmark","DDB"
"207",14,2005,1,-2.50322580645161,"Kviteseid2","Telemark","2KVB"
"208",15,2005,1,1.00322580645161,"Bratsberg","Trøndelag","BRB"
"209",16,2005,1,-1.94516129032258,"Kviteseid1","Telemark","1KVB"
"210",17,2005,1,-0.374193548387097,"Selbu_Sl","Trøndelag","SLB"
"211",18,2005,1,-0.112903225806452,"Maarud 1","Hedmark","M1B"
"212",19,2005,1,-0.609677419354839,"Nes 2","Hedmark","OLB"
"213",20,2005,1,-1.34516129032258,"Kongsvinger 2","Hedmark","JCDB"
"214",21,2005,1,-1.94193548387097,"Notodden5","Telemark","5NOB"
"215",22,2005,1,-0.767741935483871,"Fritsøe1","Telemark","1FRB"
"216",23,2005,1,-1.60645161290323,"Notodden4","Telemark","4NOB"
"217",24,2005,1,-0.161290322580645,"verdal_2VB","Trøndelag","2VBB"
"218",25,2005,1,-0.919354838709677,"Truls Holm","Hedmark","THB"
"219",26,2005,1,0.809677419354839,"Drangedal1","Telemark","1DRB"
"220",27,2005,1,-1.4741935483871,"Furesdal","Telemark","1FYB"
"221",28,2005,1,-0.187096774193548,"Sub_Namdalseid","Trøndelag","1SB"
"222",29,2005,1,0.654838709677419,"Malvik","Trøndelag","MAB"
"223",30,2005,1,-0.0516129032258065,"Drangedal4","Telemark","4DRB"
"224",31,2005,1,1.40967741935484,"Nome_Cappelen1","Telemark","1CAB"
"225",32,2005,1,0.0774193548387097,"ingen","Trøndelag","1RB"
"226",33,2005,1,-0.358064516129032,"Singsås","Trøndelag","LAB"
"227",34,2005,1,-0.174193548387097,"Stangeskovene Aurskog","Hedmark","SSAB"
"228",35,2005,1,-0.751612903225806,"Hi_tydal","Trøndelag","HIB"
"229",36,2005,1,-1.5741935483871,"Notodden3","Telemark","3NOB"
"230",37,2005,1,-0.0806451612903226,"Drangedal3","Telemark","3DRB"
"231",38,2005,1,-0.835483870967742,"steinkjer_1BBb","Trøndelag","1BBB"
"232",39,2005,1,0.480645161290323,"Selbu_Flub","Trøndelag","FLB"
"233",40,2005,1,-0.493548387096774,"Stangeskovene Eidskog","Hedmark","SSBB"
"234",41,2005,1,-1.11935483870968,"Maarud 3","Hedmark","M3B"
"235",42,2005,1,0.158064516129032,"Fritsøe2","Telemark","2FRB"
"236",43,2005,1,-1.00967741935484,"Notodden1","Telemark","1NOB"
"237",44,2005,1,-2.85161290322581,"Kviteseid3","Telemark","3KVB"
"238",45,2005,1,-0.329032258064516,"verdal_1vb","Trøndelag","1VBB"
"239",46,2005,1,0.0451612903225806,"Sørum 1","Hedmark","SKB"
"240",47,2005,1,-0.8,"steinkjer_2BBb","Trøndelag","2BBB"
"241",0,2006,1,-4.14516129032258,"Stig Dæhlen","Hedmark","SDB"
"242",1,2006,1,-4.88387096774194,"Maarud 2","Hedmark","M2B"
"243",2,2006,1,-2.48387096774194,"Nome_Cappelen2","Telemark","2CAB"
"244",3,2006,1,-4.57096774193548,"Eidskog","Hedmark","STSKNB"
"245",4,2006,1,-5.25161290322581,"Notodden6","Telemark","6NOB"
"246",5,2006,1,-1.3741935483871,"namdalseid_1kub","Trøndelag","1KB"
"247",6,2006,1,-3.74838709677419,"Fet 3","Hedmark","FKB"
"248",7,2006,1,-4.15806451612903,"Didrik Holmsen","Hedmark","DHB"
"249",8,2006,1,-4.8258064516129,"Halvard Pramhus","Hedmark","HPB"
"250",9,2006,1,-2.23870967741935,"Selbu_kl","Trøndelag","KLB"
"251",10,2006,1,-5.43870967741935,"Kongsvinger 1","Hedmark","IAAB"
"252",11,2006,1,-2.10322580645161,"Nsb_Verdal","Trøndelag","1NSB"
"253",12,2006,1,-4.01290322580645,"Sl_Tydal","Trøndelag","SEB"
"254",13,2006,1,-4.08709677419355,"Nes 1","Hedmark","DDB"
"255",14,2006,1,-6.2258064516129,"Kviteseid2","Telemark","2KVB"
"256",15,2006,1,-0.690322580645161,"Bratsberg","Trøndelag","BRB"
"257",16,2006,1,-5.49354838709677,"Kviteseid1","Telemark","1KVB"
"258",17,2006,1,-2.66451612903226,"Selbu_Sl","Trøndelag","SLB"
"259",18,2006,1,-4.18387096774194,"Maarud 1","Hedmark","M1B"
"260",19,2006,1,-4.69677419354839,"Nes 2","Hedmark","OLB"
"261",20,2006,1,-5.68709677419355,"Kongsvinger 2","Hedmark","JCDB"
"262",21,2006,1,-6.56451612903226,"Notodden5","Telemark","5NOB"
"263",22,2006,1,-5.0741935483871,"Fritsøe1","Telemark","1FRB"
"264",23,2006,1,-6.39354838709677,"Notodden4","Telemark","4NOB"
"265",24,2006,1,-2.68387096774194,"verdal_2VB","Trøndelag","2VBB"
"266",25,2006,1,-5.15806451612903,"Truls Holm","Hedmark","THB"
"267",26,2006,1,-2.9,"Drangedal1","Telemark","1DRB"
"268",27,2006,1,-5.00322580645161,"Furesdal","Telemark","1FYB"
"269",28,2006,1,-2.13870967741935,"Sub_Namdalseid","Trøndelag","1SB"
"270",29,2006,1,-1.34193548387097,"Malvik","Trøndelag","MAB"
"271",30,2006,1,-3.79677419354839,"Drangedal4","Telemark","4DRB"
"272",31,2006,1,-2.16451612903226,"Nome_Cappelen1","Telemark","1CAB"
"273",32,2006,1,-1.76451612903226,"ingen","Trøndelag","1RB"
"274",33,2006,1,-2.59354838709677,"Singsås","Trøndelag","LAB"
"275",34,2006,1,-4.15806451612903,"Stangeskovene Aurskog","Hedmark","SSAB"
"276",35,2006,1,-3.38387096774194,"Hi_tydal","Trøndelag","HIB"
"277",36,2006,1,-6.23225806451613,"Notodden3","Telemark","3NOB"
"278",37,2006,1,-3.81612903225806,"Drangedal3","Telemark","3DRB"
"279",38,2006,1,-2.98387096774194,"steinkjer_1BBb","Trøndelag","1BBB"
"280",39,2006,1,-1.8,"Selbu_Flub","Trøndelag","FLB"
"281",40,2006,1,-4.59677419354839,"Stangeskovene Eidskog","Hedmark","SSBB"
"282",41,2006,1,-5.4,"Maarud 3","Hedmark","M3B"
"283",42,2006,1,-4.21935483870968,"Fritsøe2","Telemark","2FRB"
"284",43,2006,1,-5.5741935483871,"Notodden1","Telemark","1NOB"
"285",44,2006,1,-6.43870967741935,"Kviteseid3","Telemark","3KVB"
"286",45,2006,1,-2.89032258064516,"verdal_1vb","Trøndelag","1VBB"
"287",46,2006,1,-3.90322580645161,"Sørum 1","Hedmark","SKB"
"288",47,2006,1,-2.96451612903226,"steinkjer_2BBb","Trøndelag","2BBB"
"289",0,2007,1,-2.72903225806452,"Stig Dæhlen","Hedmark","SDB"
"290",1,2007,1,-3.35483870967742,"Maarud 2","Hedmark","M2B"
"291",2,2007,1,-0.658064516129032,"Nome_Cappelen2","Telemark","2CAB"
"292",3,2007,1,-3.1258064516129,"Eidskog","Hedmark","STSKNB"
"293",4,2007,1,-2.91935483870968,"Notodden6","Telemark","6NOB"
"294",5,2007,1,-2.04516129032258,"namdalseid_1kub","Trøndelag","1KB"
"295",6,2007,1,-2.18064516129032,"Fet 3","Hedmark","FKB"
"296",7,2007,1,-2.53870967741935,"Didrik Holmsen","Hedmark","DHB"
"297",8,2007,1,-3.47741935483871,"Halvard Pramhus","Hedmark","HPB"
"298",9,2007,1,-2.25483870967742,"Selbu_kl","Trøndelag","KLB"
"299",10,2007,1,-3.80967741935484,"Kongsvinger 1","Hedmark","IAAB"
"300",11,2007,1,-2.09354838709677,"Nsb_Verdal","Trøndelag","1NSB"
"301",12,2007,1,-3.73870967741935,"Sl_Tydal","Trøndelag","SEB"
"302",13,2007,1,-2.83548387096774,"Nes 1","Hedmark","DDB"
"303",14,2007,1,-3.55483870967742,"Kviteseid2","Telemark","2KVB"
"304",15,2007,1,-1.17096774193548,"Bratsberg","Trøndelag","BRB"
"305",16,2007,1,-3.10645161290323,"Kviteseid1","Telemark","1KVB"
"306",17,2007,1,-2.57096774193548,"Selbu_Sl","Trøndelag","SLB"
"307",18,2007,1,-3.01290322580645,"Maarud 1","Hedmark","M1B"
"308",19,2007,1,-3.18387096774194,"Nes 2","Hedmark","OLB"
"309",20,2007,1,-3.9,"Kongsvinger 2","Hedmark","JCDB"
"310",21,2007,1,-3.83225806451613,"Notodden5","Telemark","5NOB"
"311",22,2007,1,-2.60967741935484,"Fritsøe1","Telemark","1FRB"
"312",23,2007,1,-3.63870967741935,"Notodden4","Telemark","4NOB"
"313",24,2007,1,-2.58709677419355,"verdal_2VB","Trøndelag","2VBB"
"314",25,2007,1,-3.07096774193548,"Truls Holm","Hedmark","THB"
"315",26,2007,1,-0.493548387096774,"Drangedal1","Telemark","1DRB"
"316",27,2007,1,-2.54516129032258,"Furesdal","Telemark","1FYB"
"317",28,2007,1,-2.59032258064516,"Sub_Namdalseid","Trøndelag","1SB"
"318",29,2007,1,-1.56774193548387,"Malvik","Trøndelag","MAB"
"319",30,2007,1,-0.835483870967742,"Drangedal4","Telemark","4DRB"
"320",31,2007,1,0.032258064516129,"Nome_Cappelen1","Telemark","1CAB"
"321",32,2007,1,-2.46774193548387,"ingen","Trøndelag","1RB"
"322",33,2007,1,-2.7258064516129,"Singsås","Trøndelag","LAB"
"323",34,2007,1,-2.49032258064516,"Stangeskovene Aurskog","Hedmark","SSAB"
"324",35,2007,1,-3.1741935483871,"Hi_tydal","Trøndelag","HIB"
"325",36,2007,1,-3.61290322580645,"Notodden3","Telemark","3NOB"
"326",37,2007,1,-0.974193548387097,"Drangedal3","Telemark","3DRB"
"327",38,2007,1,-3.53870967741935,"steinkjer_1BBb","Trøndelag","1BBB"
"328",39,2007,1,-1.92903225806452,"Selbu_Flub","Trøndelag","FLB"
"329",40,2007,1,-3.0741935483871,"Stangeskovene Eidskog","Hedmark","SSBB"
"330",41,2007,1,-3.63548387096774,"Maarud 3","Hedmark","M3B"
"331",42,2007,1,-1.63548387096774,"Fritsøe2","Telemark","2FRB"
"332",43,2007,1,-3.11935483870968,"Notodden1","Telemark","1NOB"
"333",44,2007,1,-3.69354838709677,"Kviteseid3","Telemark","3KVB"
"334",45,2007,1,-2.77741935483871,"verdal_1vb","Trøndelag","1VBB"
"335",46,2007,1,-2.46774193548387,"Sørum 1","Hedmark","SKB"
"336",47,2007,1,-3.49032258064516,"steinkjer_2BBb","Trøndelag","2BBB"
"337",0,2008,1,-0.0387096774193548,"Stig Dæhlen","Hedmark","SDB"
"338",1,2008,1,-0.780645161290323,"Maarud 2","Hedmark","M2B"
"339",2,2008,1,0.306451612903226,"Nome_Cappelen2","Telemark","2CAB"
"340",3,2008,1,-0.403225806451613,"Eidskog","Hedmark","STSKNB"
"341",4,2008,1,-2.04838709677419,"Notodden6","Telemark","6NOB"
"342",5,2008,1,-0.809677419354839,"namdalseid_1kub","Trøndelag","1KB"
"343",6,2008,1,0.335483870967742,"Fet 3","Hedmark","FKB"
"344",7,2008,1,-0.0935483870967742,"Didrik Holmsen","Hedmark","DHB"
"345",8,2008,1,-0.235483870967742,"Halvard Pramhus","Hedmark","HPB"
"346",9,2008,1,-1.46774193548387,"Selbu_kl","Trøndelag","KLB"
"347",10,2008,1,-1.20967741935484,"Kongsvinger 1","Hedmark","IAAB"
"348",11,2008,1,-0.651612903225806,"Nsb_Verdal","Trøndelag","1NSB"
"349",12,2008,1,-2.65483870967742,"Sl_Tydal","Trøndelag","SEB"
"350",13,2008,1,-0.135483870967742,"Nes 1","Hedmark","DDB"
"351",14,2008,1,-3.4258064516129,"Kviteseid2","Telemark","2KVB"
"352",15,2008,1,-0.654838709677419,"Bratsberg","Trøndelag","BRB"
"353",16,2008,1,-2.48709677419355,"Kviteseid1","Telemark","1KVB"
