ExperimentGisID,FieldSheetID,Region,LocalityName,LocalityCode,Treatment,_Date,Plot,Taxa,CervidaeFunction,Height_cm,Height_class_50cm,Diameter_at_base_mm,Diameter_at_150cm_mm,Quantity
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Sorbus aucuparia (Rogn),ROS,,7,,,1
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Sorbus aucuparia (Rogn),ROS,,5,,,2
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Sorbus aucuparia (Rogn),ROS,,4,,,1
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Picea abies (Gran),Bad tree,,5,,,8
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Picea abies (Gran),Bad tree,,2,,,49
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Picea abies (Gran),Bad tree,,4,,,19
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Picea abies (Gran),Bad tree,,1,,,8
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Picea abies (Gran),Bad tree,,3,,,20
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Pinus sylvestris (Furu),Resten,,7,,,1
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Sorbus aucuparia (Rogn),ROS,,3,,,1
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Sorbus aucuparia (Rogn),ROS,,6,,,2
128,4173,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SE,Sorbus aucuparia (Rogn),ROS,,2,,,1
128,4174,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,SW,No occurrence (Ingen),NA,,0,,,0
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Betula pubescens (Bjørk),Resten,,1,,,14
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Betula pubescens (Bjørk),Resten,,2,,,33
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Picea abies (Gran),Bad tree,,3,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Picea abies (Gran),Bad tree,,1,,,5
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Picea abies (Gran),Bad tree,,2,,,5
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Picea abies (Gran),Bad tree,,5,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Picea abies (Gran),Bad tree,,4,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Pinus sylvestris (Furu),Resten,,2,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Pinus sylvestris (Furu),Resten,,4,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Salix caprea (Selje),ROS,,1,,,2
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Sambucus racemosa (Rødhyll),Bad tree,,1,,,1
125,4087,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,NE,Sorbus aucuparia (Rogn),ROS,,1,,,6
125,4089,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,SE,Betula pubescens (Bjørk),Resten,,2,,,12
125,4089,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,SE,Betula pubescens (Bjørk),Resten,,3,,,2
125,4089,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,SE,Betula pubescens (Bjørk),Resten,,1,,,3
125,4089,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,SE,Picea abies (Gran),Bad tree,,5,,,1
125,4089,Hedmark,Kongsvinger 2,JCDB,B,5/15/19,SE,Sorbus aucuparia (Rogn),ROS,,1,,,7
125,4088,Hedmark,Kongsvinger 2,JCDB,B,5/16/19,NW,Betula pubescens (Bjørk),Resten,,1,,,3
125,4088,Hedmark,Kongsvinger 2,JCDB,B,5/16/19,NW,Betula pubescens (Bjørk),Resten,,2,,,2
125,4088,Hedmark,Kongsvinger 2,JCDB,B,5/16/19,NW,Picea abies (Gran),Bad tree,,1,,,3
125,4088,Hedmark,Kongsvinger 2,JCDB,B,5/16/19,NW,Picea abies (Gran),Bad tree,,2,,,1
125,4088,Hedmark,Kongsvinger 2,JCDB,B,5/16/19,NW,Picea abies (Gran),Bad tree,,3,,,1
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Betula pubescens (Bjørk),Resten,,4,,,1
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,1,,,20
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,5,,,10
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,4,,,21
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,3,,,40
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,2,,,54
128,4172,Hedmark,Kongsvinger 1,IAAUB,UB,5/15/19,NW,Picea abies (Gran),Bad tree,,6,,,2
126,4091,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NE,Sorbus aucuparia (Rogn),ROS,,3,,,1
126,4091,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NE,Sorbus aucuparia (Rogn),ROS,,5,,,2
126,4091,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NE,Sorbus aucuparia (Rogn),ROS,,6,,,1
126,4091,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NE,Sorbus aucuparia (Rogn),ROS,,7,,,2
126,4091,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NE,Sorbus aucuparia (Rogn),ROS,,1,,,4
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Betula pubescens (Bjørk),Resten,,7,,,1
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Sorbus aucuparia (Rogn),ROS,,4,,,1
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Sorbus aucuparia (Rogn),ROS,,1,,,1
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Sorbus aucuparia (Rogn),ROS,,7,,,1
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Sorbus aucuparia (Rogn),ROS,,2,,,1
126,4092,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,NW,Sorbus aucuparia (Rogn),ROS,,3,,,3
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Betula pubescens (Bjørk),Resten,,5,,,1
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Picea abies (Gran),Bad tree,,3,,,1
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Picea abies (Gran),Bad tree,,5,,,2
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,7,,,2
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,6,,,3
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,2,,,2
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,5,,,5
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,3,,,5
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,4,,,1
126,4093,Hedmark,Kongsvinger 2,JCDUB,UB,5/16/19,SE,Sorbus aucuparia (Rogn),ROS,,1,,,6
