"","Total_plot_volume","Site_name","Treatment"
"2",6251.30454526139,"bratsberg","open"
"3",22591.2413967897,"bratsberg","exclosure"
"4",7972.5935648483,"didrik_holmsen","open"
"5",15861.8830058551,"didrik_holmsen","exclosure"
"6",8815.10671714885,"drangedal1","open"
"7",9772.52380959984,"drangedal1","exclosure"
"8",1517.42069439312,"drangedal3","open"
"9",3635.22310356038,"drangedal3","exclosure"
"10",10690.341237081,"drangedal4","open"
"11",25481.703524123,"drangedal4","exclosure"
"12",5257.45523368776,"eidskog","open"
"13",4338.7571393644,"eidskog","exclosure"
"14",6312.5341501632,"fet_3","open"
"15",14019.1545183085,"fet_3","exclosure"
"16",9809.83899366192,"fritsoe1","open"
"17",16319.8306844091,"fritsoe1","exclosure"
"18",7328.71931960511,"fritsoe2","open"
"19",14854.241041465,"fritsoe2","exclosure"
"20",2932.28777103142,"furesdal","open"
"21",7314.40301884807,"furesdal","exclosure"
"22",7121.29842533849,"halvard_pramhus","open"
"23",13398.2923577238,"halvard_pramhus","exclosure"
"24",6568.46517242012,"hi_tydal","open"
"25",21327.7334520998,"hi_tydal","exclosure"
"26",13249.5315505082,"kviteseid1","open"
"27",19436.9155356268,"kviteseid1","exclosure"
"28",9689.86423982756,"kviteseid2","open"
"29",15731.2941119962,"kviteseid2","exclosure"
"30",9270.21286655612,"kviteseid3","open"
"31",11888.2644839079,"kviteseid3","exclosure"
"32",4791.31495598194,"malvik","open"
"33",16173.4864936462,"malvik","exclosure"
"34",3154.46699112531,"namdalseid_1kub","open"
"35",2789.99589772036,"namdalseid_1kub","exclosure"
"36",2611.08529785576,"nome_cappelen1","open"
"37",3655.27612441901,"nome_cappelen1","exclosure"
"38",4140.74668274758,"nome_cappelen2","open"
"39",8937.48516455088,"nome_cappelen2","exclosure"
"40",10221.1661072103,"notodden3","open"
"41",12958.2419962051,"notodden3","exclosure"
"42",4959.03328187992,"notodden5","open"
"43",7748.87523580549,"notodden5","exclosure"
"44",7968.98455260109,"notodden6","open"
"45",11759.2983008716,"notodden6","exclosure"
"46",864.948230361631,"nsb_verdal","open"
"47",1558.11648204549,"nsb_verdal","exclosure"
"48",20072.1792986969,"selbu_flub","open"
"49",17479.0237654571,"selbu_flub","exclosure"
"50",865.081758020163,"selbu_kl","open"
"51",1282.22409849828,"selbu_kl","exclosure"
"52",6842.54756093191,"selbu_sl","open"
"53",11678.4181863466,"selbu_sl","exclosure"
"54",2380.23479381998,"singsaas","open"
"55",2607.17252002024,"singsaas","exclosure"
"56",3717.12828885937,"sl_tydal","open"
"57",9694.5788605376,"sl_tydal","exclosure"
"58",4016.03767637044,"stangeskovene_aurskog","open"
"59",7005.54284895836,"stangeskovene_aurskog","exclosure"
"60",2358.25318454402,"stangeskovene_eidskog","open"
"61",11199.7508916413,"stangeskovene_eidskog","exclosure"
"62",1519.46481650123,"steinkjer_1bbb","open"
"63",2121.57816438661,"steinkjer_1bbb","exclosure"
"64",3113.14282996617,"steinkjer_2bbb","open"
"65",4698.33062526754,"steinkjer_2bbb","exclosure"
"66",5738.8389466131,"stig_dahlen","open"
"67",30487.1075042261,"stig_dahlen","exclosure"
"68",2361.68013854487,"sub_namdalseid","open"
"69",2030.09669583097,"sub_namdalseid","exclosure"
"70",5379.49924740083,"truls_holm","open"
"71",15238.170010391,"truls_holm","exclosure"
"72",2771.963558649,"verdal_1vb","open"
"73",3354.71792504491,"verdal_1vb","exclosure"
"74",6836.70029771901,"verdal_2vb","open"
"75",18208.3380811184,"verdal_2vb","exclosure"
