"","LocalityName","LocalityCode","Treatment","Volume_m3","Volume_m3_ha"
"1","steinkjer_1bbb","1BBB","B",0.0364199502341927,7.24551888366574
"2","namdalseid_1kub","1KB","B",0.0405655677826545,8.07026328992349
"3","nsb_verdal","1NSB","B",0.0619345367327951,12.3214845864136
"4","sub_namdalseid","1SB","B",0.0104924841900165,2.08741340519336
"5","verdal_1vb","1VBB","B",0.00370348213975386,0.736784361492971
"6","steinkjer_2bbb","2BBB","B",0.0814446859949594,16.2029054558313
"7","verdal_2vb","2VBB","B",0.10345622710423,20.581962421595
"8","bratsberg","BRB","B",0.029508332491228,5.87049622297264
"9","selbu_flub","FLB","B",0.199573286835386,39.7038438861854
"10","hi_tydal","HIB","B",0.0366543030780689,7.29214190057893
"11","selbu_kl","KLB","B",0.0522748447171188,10.3997499201134
"12","singsås","LAB","B",0.0260712910191587,5.18671854810806
"13","malvik","MAB","B",0.0350312333256587,6.96924243298014
"14","sl_tydal","SEB","B",0.0293206153876341,5.83315109179781
"15","selbu_sl","SLB","B",0.0656866324510417,13.0679403120547
"16","steinkjer_1bbb","1BBUB","UB",0.0492578406609559,9.79953603403011
"17","namdalseid_1kub","1KUB","UB",0.122446474195859,24.3599520405565
"18","nsb_verdal","1NSUB","UB",0.00680957589793827,1.35472208064538
"19","sub_namdalseid","1SUB","UB",0.041713434037666,8.29862402554032
"20","verdal_1vb","1VBUB","UB",0.0102468967255469,2.03855533152868
"21","steinkjer_2bbb","2BBUB","UB",0.0551501993552484,10.971783549864
"22","verdal_2vb","2VBUB","UB",0.117621839650668,23.4001214949576
"23","bratsberg","BRUB","UB",0.134584106787913,26.7746573211299
"24","selbu_flub","FLUB","UB",0.120474979827602,23.967735698074
"25","hi_tydal","HIUB","UB",0.101614593115632,20.2155809807806
"26","selbu_kl","KLUB","UB",0.0359015310973125,7.14238267338085
"27","singsås","LAUB","UB",0.0127464848743236,2.53583259349335
"28","malvik","MAUB","UB",0.0849925556902313,16.9087317051419
"29","sl_tydal","SEUB","UB",0.0739848469876281,14.7188176399732
"30","selbu_sl","SLUB","UB",0.0841166727924762,16.7344803392077
